qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,protein_ncbi_acc,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,conserved_AA_#
AH1_S13_NODE_4_length_5975_cov_3.374364_1,QPB08618.1,29.5,190,116,6,2,190,494,666,7.65e-19,86.3,AH1_S13_NODE_4_length_5975_cov_3.374364,5703,QPB08618.1,major capsid protein,Burkholderia phage Mica,674.0,MT701586.1,43707.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Micavirus,,Micavirus Mica,E,Burkholderia phage Mica,,,MT701586,NC_054148,Complete genome,dsDNA,bacteria,56.05
AH1_S13_NODE_5_length_5519_cov_5.290886_1,AWN05122.1,68.2,44,14,0,2,45,43,86,6.84e-14,61.6,AH1_S13_NODE_5_length_5519_cov_5.290886,5400,AWN05122.1,hypothetical protein SEA_FLOWERPOWER_41,Streptomyces phage FlowerPower,89.0,MH155868.1,46133.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Beephvirinae,Flowerpowervirus,,Flowerpowervirus flowerpower,E,Streptomyces phage FlowerPower,,,MH155868,NC_048706,Complete genome,dsDNA,bacteria,30.008000000000003
AH1_S13_NODE_5_length_5519_cov_5.290886_2,APC46412.1,29.4,143,98,3,91,232,49,189,8.17e-06,47.8,AH1_S13_NODE_5_length_5519_cov_5.290886,5400,APC46412.1,hypothetical protein,Streptomyces phage BRock,190.0,KX925554.1,112523.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Borockvirus,,Borockvirus brock,E,Streptomyces phage BRock,,,KX925554,NC_048650,Complete genome,dsDNA,bacteria,42.041999999999994
AH1_S13_NODE_5_length_5519_cov_5.290886_3,ATW62479.1,72.6,310,81,3,1,306,1,310,1.6800000000000003e-157,444.0,AH1_S13_NODE_5_length_5519_cov_5.290886,5400,ATW62479.1,hypothetical protein SEA_WRIGHTON_45,Streptomyces phage WRightOn,311.0,MG515223.1,45221.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Beephvirinae,Manuelvirus,,Manuelvirus wrighton,E,Streptomyces phage WRightOn,,,MG515223,NC_048684,Complete genome,dsDNA,bacteria,225.06
AH1_S13_NODE_5_length_5519_cov_5.290886_4,ATW69403.1,64.8,125,42,1,1,125,1,123,6.51e-36,140.0,AH1_S13_NODE_5_length_5519_cov_5.290886,5400,ATW69403.1,hypothetical protein SEA_IMMANUEL3_45,Streptomyces phage Immanuel3,477.0,MG518520.1,46094.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Beephvirinae,Immanueltrevirus,,Immanueltrevirus immanuel3,E,Streptomyces phage Immanuel3,,,MG518520,NC_048686,Complete genome,dsDNA,bacteria,81.0
AH1_S13_NODE_5_length_5519_cov_5.290886_5,AWN05126.1,56.4,652,261,14,1,640,1,641,6.7700000000000006e-245,692.0,AH1_S13_NODE_5_length_5519_cov_5.290886,5400,AWN05126.1,hypothetical protein SEA_FLOWERPOWER_45,Streptomyces phage FlowerPower,642.0,MH155868.1,46133.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Beephvirinae,Flowerpowervirus,,Flowerpowervirus flowerpower,E,Streptomyces phage FlowerPower,,,MH155868,NC_048706,Complete genome,dsDNA,bacteria,367.72799999999995
AH1_S13_NODE_5_length_5519_cov_5.290886_6,ATW69405.1,44.0,109,61,0,3,111,1,109,1.37e-20,82.0,AH1_S13_NODE_5_length_5519_cov_5.290886,5400,ATW69405.1,hypothetical protein SEA_IMMANUEL3_47,Streptomyces phage Immanuel3,110.0,MG518520.1,46094.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Beephvirinae,Immanueltrevirus,,Immanueltrevirus immanuel3,E,Streptomyces phage Immanuel3,,,MG518520,NC_048686,Complete genome,dsDNA,bacteria,47.96
AH3_S4_NODE_10_length_6274_cov_4.735840_2,AAL22428.1,27.3,271,165,9,12,265,29,284,4.72e-19,87.0,AH3_S4_NODE_10_length_6274_cov_4.735840,6276,AAL22428.1,sigma H factor of RNA polymerase,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,284.0,AE006468.2,4857450.0,,,,,,,,,,,,,,,,,,,,,,,,,73.983
AH3_S4_NODE_12_length_5937_cov_4.404096_4,QDF16987.1,31.7,243,123,8,120,350,268,479,1.25e-16,83.6,AH3_S4_NODE_12_length_5937_cov_4.404096,5925,QDF16987.1,minor tail protein,Microbacterium phage TinyTimothy,481.0,MK878904.1,53932.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Eekayvirinae,Tinytimothyvirus,,Tinytimothyvirus tinytimothy,E,Microbacterium phage TinyTimothy,,,MK878904,NC_048777,Complete genome,dsDNA,bacteria,77.031
AH3_S4_NODE_16_length_5306_cov_8.849493_1,ALY08654.1,72.5,171,43,1,2,172,952,1118,7.379999999999999e-74,243.0,AH3_S4_NODE_16_length_5306_cov_8.849493,5232,ALY08654.1,DNA polymerase/primase,Arthrobacter phage CaptnMurica,1312.0,KU160641.1,58159.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gordonvirus,,Gordonvirus captnmurica,E,Arthrobacter phage CaptnMurica,,,KU160641,NC_041951,Complete genome,dsDNA,bacteria,123.975
AH3_S4_NODE_16_length_5306_cov_8.849493_2,QAU06292.1,54.7,946,375,14,1,902,1,936,0.0,978.0,AH3_S4_NODE_16_length_5306_cov_8.849493,5232,QAU06292.1,DNA primase/polymerase,Gordonia phage Rickmore,1303.0,MK376953.1,60218.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Deejayvirinae,Kenoshavirus,,Kenoshavirus rickmore,E,Gordonia phage Rickmore,,,MK376953,NC_048749,Complete genome,dsDNA,bacteria,517.4620000000001
AH3_S4_NODE_16_length_5306_cov_8.849493_3,ADD81069.1,49.2,181,83,5,1,174,1,179,3.25e-54,172.0,AH3_S4_NODE_16_length_5306_cov_8.849493,5232,ADD81069.1,gp071,Rhodococcus phage ReqiPoco6,183.0,GU580942.1,78064.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Pepyhexavirus,,Pepyhexavirus poco6,E,Rhodococcus phage ReqiPoco6,,,GU580942,NC_023694,Complete genome,dsDNA,bacteria,89.052
AH3_S4_NODE_16_length_5306_cov_8.849493_4,ADD81068.1,46.2,104,50,3,149,246,187,290,6.94e-19,86.7,AH3_S4_NODE_16_length_5306_cov_8.849493,5232,ADD81068.1,gp070,Rhodococcus phage ReqiPoco6,294.0,GU580942.1,78064.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Pepyhexavirus,,Pepyhexavirus poco6,E,Rhodococcus phage ReqiPoco6,,,GU580942,NC_023694,Complete genome,dsDNA,bacteria,48.048
AH3_S4_NODE_16_length_5306_cov_8.849493_5,ADD81067.1,49.3,223,108,3,2,219,75,297,1.5999999999999999e-62,199.0,AH3_S4_NODE_16_length_5306_cov_8.849493,5232,ADD81067.1,gp069,Rhodococcus phage ReqiPoco6,297.0,GU580942.1,78064.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Pepyhexavirus,,Pepyhexavirus poco6,E,Rhodococcus phage ReqiPoco6,,,GU580942,NC_023694,Complete genome,dsDNA,bacteria,109.939
AH3_S4_NODE_1_length_16079_cov_4.695663_15,AQY55126.1,31.9,204,110,10,2,192,8,195,4.82e-16,78.2,AH3_S4_NODE_1_length_16079_cov_4.695663,13956,AQY55126.1,endolysin,Geobacillus phage TP-84,394.0,KY565347.3,47718.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Saundersvirus,,Saundersvirus Tp84,E,Geobacillus phage TP-84,,,KY565347,NC_041918,Complete genome,dsDNA,bacteria,65.076
AH3_S4_NODE_3_length_11610_cov_6.199861_13,ARK07690.1,29.8,685,362,26,58,728,9,588,3.33e-63,224.0,AH3_S4_NODE_3_length_11610_cov_6.199861,10449,ARK07690.1,DNA polymerase,Rhodococcus phage Toil,596.0,KY817360.1,17253.0,Varidnaviria,,Bamfordvirae,,Preplasmiviricota,,Tectiliviricetes,,Kalamavirales,,Tectiviridae,,Epsilontectivirus,,Epsilontectivirus toil,E,Rhodococcus phage Toil,,,KY817360,NC_055061,Complete genome,dsDNA,bacteria,204.13
AH3_S4_NODE_3_length_11610_cov_6.199861_18,QBZ72848.1,51.9,235,112,1,23,256,24,258,1.3700000000000001e-86,261.0,AH3_S4_NODE_3_length_11610_cov_6.199861,10449,QBZ72848.1,DNA packaging ATPase protein,Streptomyces phage Forthebois,262.0,MK620900.1,18251.0,Varidnaviria,,Bamfordvirae,,Preplasmiviricota,,Tectiliviricetes,,Kalamavirales,,Tectiviridae,,Deltatectivirus,,Deltatectivirus forthebois,E,Streptomyces phage Forthebois,,,MK620900,NC_055059,Complete genome,dsDNA,bacteria,121.965
AH3_S4_NODE_3_length_11610_cov_6.199861_19,QAX92925.1,59.5,42,15,1,1,40,1,42,2.67e-10,51.2,AH3_S4_NODE_3_length_11610_cov_6.199861,10449,QAX92925.1,hypothetical protein SEA_WHEEHEIM_17,Streptomyces phage WheeHeim,45.0,MK305890.1,18266.0,Varidnaviria,,Bamfordvirae,,Preplasmiviricota,,Tectiliviricetes,,Kalamavirales,,Tectiviridae,,Deltatectivirus,,Deltatectivirus wheeheim,E,Streptomyces phage WheeHeim,,,MK305890,NC_055060,Complete genome,dsDNA,bacteria,24.99
AH3_S4_NODE_3_length_11610_cov_6.199861_20,QAX92926.1,59.7,409,142,8,1,402,1,393,1.94e-155,446.0,AH3_S4_NODE_3_length_11610_cov_6.199861,10449,QAX92926.1,major capsid protein,Streptomyces phage WheeHeim,393.0,MK305890.1,18266.0,Varidnaviria,,Bamfordvirae,,Preplasmiviricota,,Tectiliviricetes,,Kalamavirales,,Tectiviridae,,Deltatectivirus,,Deltatectivirus wheeheim,E,Streptomyces phage WheeHeim,,,MK305890,NC_055060,Complete genome,dsDNA,bacteria,244.173
AH3_S4_NODE_4_length_10454_cov_4.073528_5,ATI16967.1,39.9,138,61,6,109,228,4,137,1.18e-18,81.6,AH3_S4_NODE_4_length_10454_cov_4.073528,9873,ATI16967.1,hypothetical protein,Escherichia phage IMM-002,140.0,MF630921.1,40060.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Autographiviridae,Studiervirinae,Kayfunavirus,,Kayfunavirus IMM002,E,Escherichia phage IMM-002,,,MF630921,NC_048071,Complete genome,dsDNA,bacteria,55.06199999999999
AH3_S4_NODE_5_length_9092_cov_4.974265_16,QFR56050.1,24.7,97,69,2,17,113,7,99,2.94e-06,45.1,AH3_S4_NODE_5_length_9092_cov_4.974265,8811,QFR56050.1,hypothetical protein CPT_Muldoon_095,Serratia phage Muldoon,101.0,MN095771.1,167547.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Muldoonvirus,,Muldoonvirus muldoon,E,Serratia phage Muldoon,,,MN095771,NC_049464,Complete genome,dsDNA,bacteria,23.959
AH3_S4_NODE_6_length_8911_cov_5.783450_17,AOZ65396.1,42.1,114,61,2,1,113,1,110,6.5e-23,88.2,AH3_S4_NODE_6_length_8911_cov_5.783450,7131,AOZ65396.1,hypothetical protein kpv52_52,Klebsiella phage vB_KpnM_KpV52,113.0,KX237516.1,47405.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Jedunavirus,,Jedunavirus KpV80,E,Klebsiella phage vB_KpnM_KpV52,,,KX237516,NC_041900,Complete genome,dsDNA,bacteria,47.994
AH3_S4_NODE_7_length_7421_cov_3.747277_10,AYN58718.1,42.3,52,30,0,73,124,147,198,3.62e-06,47.8,AH3_S4_NODE_7_length_7421_cov_3.747277,7104,AYN58718.1,acetyltransferase,Arthrobacter phage Peas,201.0,MH834623.1,44103.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Bridgettevirus,,Bridgettevirus peas,E,Arthrobacter phage Peas,,,MH834623,NC_048096,Complete genome,dsDNA,bacteria,21.996
AH3_S4_NODE_7_length_7421_cov_3.747277_11,ACF34220.1,26.0,242,139,7,41,280,34,237,2.19e-06,51.2,AH3_S4_NODE_7_length_7421_cov_3.747277,7104,ACF34220.1,tyrosine integrase,Mycobacterium phage Kostya,279.0,EU816591.1,75811.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Kostyavirus,,Kostyavirus kostya,E,Mycobacterium phage Kostya,,,EU816591,NC_011056,Complete genome,dsDNA,bacteria,62.92
AH3_S4_NODE_7_length_7421_cov_3.747277_4,AAL20810.1,31.1,325,191,9,42,352,16,321,6.940000000000001e-32,125.0,AH3_S4_NODE_7_length_7421_cov_3.747277,7104,AAL20810.1,"Holliday junction helicase, subunit B",Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,336.0,AE006468.2,4857450.0,,,,,,,,,,,,,,,,,,,,,,,,,101.075
AH3_S4_NODE_7_length_7421_cov_3.747277_9,QFG10349.1,46.2,52,27,1,3,54,86,136,8.39e-07,45.1,AH3_S4_NODE_7_length_7421_cov_3.747277,7104,QFG10349.1,hypothetical protein SEA_DYOEDAFOS_137,Mycobacterium phage DyoEdafos,144.0,MN234187.1,77566.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Vilmaviridae,Lclasvirinae,Bromdenvirus,,Bromdenvirus dyoedafos,E,Mycobacterium phage DyoEdafos,,,MN234187,NC_053511,Complete genome,dsDNA,bacteria,24.024
AH3_S4_NODE_8_length_6914_cov_3.412169_11,AXQ62310.1,31.1,425,241,11,3,411,13,401,6.319999999999999e-46,165.0,AH3_S4_NODE_8_length_6914_cov_3.412169,6903,AXQ62310.1,DNA methylase,Gordonia phage TillyBobJoe,404.0,MH669015.1,58677.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wizardvirus,,Wizardvirus tillybobjoe,E,Gordonia phage TillyBobJoe,,,MH669015,NC_055765,Complete genome,dsDNA,bacteria,132.175
AH3_S4_NODE_9_length_6595_cov_3.656183_2,AXH67266.1,30.4,253,146,10,31,272,15,248,5.5000000000000005e-21,94.7,AH3_S4_NODE_9_length_6595_cov_3.656183,6540,AXH67266.1,DNA primase,Streptomyces phage Wollford,334.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria,76.91199999999999
AH3_S4_NODE_9_length_6595_cov_3.656183_4,AEZ50500.1,22.2,739,379,16,23,635,50,718,4.4600000000000006e-27,121.0,AH3_S4_NODE_9_length_6595_cov_3.656183,6540,AEZ50500.1,putative DNA polymerase I,Bacillus phage BCD7,766.0,JN712910.1,93839.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Becedseptimavirus,,Becedseptimavirus BCD7,E,Bacillus phage BCD7,,,JN712910,NC_019515,Complete genome,dsDNA,bacteria,164.058
AH4_S17_NODE_130_length_6030_cov_9.188476_1,ASU03936.1,35.4,367,222,3,708,1070,1464,1819,1.52e-47,189.0,AH4_S17_NODE_130_length_6030_cov_9.188476,5715,ASU03936.1,tape measure protein,Streptomyces phage DrGrey,1826.0,MF467948.1,56076.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Rimavirus,,Rimavirus drgrey,E,Streptomyces phage DrGrey,,,MF467948,NC_042016,Complete genome,dsDNA,bacteria,129.918
AH4_S17_NODE_130_length_6030_cov_9.188476_2,ALY08709.1,35.5,183,109,5,1,179,1,178,1.39e-17,83.2,AH4_S17_NODE_130_length_6030_cov_9.188476,5715,ALY08709.1,minor tail protein,Arthrobacter phage Circum,283.0,KU160642.1,58353.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Mudcatvirus,,Mudcatvirus circum,E,Arthrobacter phage Circum,,,KU160642,NC_041948,Complete genome,dsDNA,bacteria,64.965
AH4_S17_NODE_130_length_6030_cov_9.188476_3,ASU03938.1,32.9,383,203,16,7,371,12,358,2.15e-41,152.0,AH4_S17_NODE_130_length_6030_cov_9.188476,5715,ASU03938.1,minor tail protein,Streptomyces phage DrGrey,390.0,MF467948.1,56076.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Rimavirus,,Rimavirus drgrey,E,Streptomyces phage DrGrey,,,MF467948,NC_042016,Complete genome,dsDNA,bacteria,126.00699999999999
AH4_S17_NODE_130_length_6030_cov_9.188476_5,ADD81039.1,30.7,101,63,3,1,96,23,121,3.38e-06,44.7,AH4_S17_NODE_130_length_6030_cov_9.188476,5715,ADD81039.1,gp041,Rhodococcus phage ReqiPoco6,121.0,GU580942.1,78064.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Pepyhexavirus,,Pepyhexavirus poco6,E,Rhodococcus phage ReqiPoco6,,,GU580942,NC_023694,Complete genome,dsDNA,bacteria,31.006999999999998
AH4_S17_NODE_152_length_5661_cov_2.448961_7,AAK94379.1,36.7,237,147,2,5,239,4,239,1.2900000000000001e-47,173.0,AH4_S17_NODE_152_length_5661_cov_2.448961,5259,AAK94379.1,terminase,Myxococcus phage Mx8,482.0,AF396866.1,49534.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Myxoctovirus,,Myxoctovirus Mx8,E,Myxococcus phage Mx8,,,AF396866,NC_003085,Complete genome,dsDNA,bacteria,86.97900000000001
AH4_S17_NODE_168_length_5387_cov_3.462900_4,AAL22838.1,24.9,551,330,20,272,787,404,905,9.759999999999999e-23,107.0,AH4_S17_NODE_168_length_5387_cov_3.462900,5298,AAL22838.1,DNA polymerase I,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,928.0,AE006468.2,4857450.0,,,,,,,,,,,,,,,,,,,,,,,,,137.19899999999998
AH4_S17_NODE_168_length_5387_cov_3.462900_5,ANA85617.1,54.6,108,43,2,1,108,1,102,2.06e-31,109.0,AH4_S17_NODE_168_length_5387_cov_3.462900,5298,ANA85617.1,nucleoside deoxyribosyltransferase,Gordonia phage Vendetta,108.0,KU998237.1,45858.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ruthgordonvirinae,Vendettavirus,,Vendettavirus vendetta,E,Gordonia phage Vendetta,,,KU998237,NC_030911,Complete genome,dsDNA,bacteria,58.968
AH4_S17_NODE_189_length_5111_cov_9.429877_4,AEZ65752.1,22.6,402,268,20,3,387,7,382,1.12e-10,65.5,AH4_S17_NODE_189_length_5111_cov_9.429877,4989,AEZ65752.1,hypothetical protein,Cyanophage S-TIM5,382.0,JQ245707.1,161440.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Aurunvirus,,Aurunvirus STIM5,E,Cyanophage S-TIM5,,,JQ245707,NC_019516,Complete genome,dsDNA,bacteria,90.85199999999999
AH4_S17_NODE_189_length_5111_cov_9.429877_5,AWN06239.1,31.0,268,167,9,2,256,10,272,2.01e-17,84.7,AH4_S17_NODE_189_length_5111_cov_9.429877,4989,AWN06239.1,putative ATPase,Erwinia phage phiEaP8,349.0,MH160392.1,75929.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Schitoviridae,Erskinevirinae,Yonginvirus,,Yonginvirus EaP8,E,Erwinia phage phiEaP8,,,MH160392,NC_049510,Complete genome,dsDNA,bacteria,83.08
AH4_S17_NODE_20_length_11263_cov_3.927856_10,ARK07690.1,29.8,685,362,26,58,728,9,588,3.33e-63,224.0,AH4_S17_NODE_20_length_11263_cov_3.927856,10251,ARK07690.1,DNA polymerase,Rhodococcus phage Toil,596.0,KY817360.1,17253.0,Varidnaviria,,Bamfordvirae,,Preplasmiviricota,,Tectiliviricetes,,Kalamavirales,,Tectiviridae,,Epsilontectivirus,,Epsilontectivirus toil,E,Rhodococcus phage Toil,,,KY817360,NC_055061,Complete genome,dsDNA,bacteria,204.13
AH4_S17_NODE_20_length_11263_cov_3.927856_14,QBZ72848.1,51.9,235,112,1,23,256,24,258,1.3700000000000001e-86,261.0,AH4_S17_NODE_20_length_11263_cov_3.927856,10251,QBZ72848.1,DNA packaging ATPase protein,Streptomyces phage Forthebois,262.0,MK620900.1,18251.0,Varidnaviria,,Bamfordvirae,,Preplasmiviricota,,Tectiliviricetes,,Kalamavirales,,Tectiviridae,,Deltatectivirus,,Deltatectivirus forthebois,E,Streptomyces phage Forthebois,,,MK620900,NC_055059,Complete genome,dsDNA,bacteria,121.965
AH4_S17_NODE_20_length_11263_cov_3.927856_15,QAX92925.1,59.5,42,15,1,1,40,1,42,2.67e-10,51.2,AH4_S17_NODE_20_length_11263_cov_3.927856,10251,QAX92925.1,hypothetical protein SEA_WHEEHEIM_17,Streptomyces phage WheeHeim,45.0,MK305890.1,18266.0,Varidnaviria,,Bamfordvirae,,Preplasmiviricota,,Tectiliviricetes,,Kalamavirales,,Tectiviridae,,Deltatectivirus,,Deltatectivirus wheeheim,E,Streptomyces phage WheeHeim,,,MK305890,NC_055060,Complete genome,dsDNA,bacteria,24.99
