,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_genome_ID,qseqid_ID,qseqid_function,qseqid_protein_length,qseqid_genome_length,qseqid_input_seq,qseqid_virus,sseqid_genome_ID,sseqid_ID,sseqid_function,sseqid_protein_length,sseqid_genome_length,sseqid_input_seq,sseqid_virus,conserved_AA_#
19,NC_024711.1_5,YP_010359284.1,84.1,201,29,2,1,200,1,199,3.52e-108,311.0,NC_024711.1,NC_024711.1_5,,209,91284.0,1.0,,NC_062771.1,YP_010359284.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,204,169.04099999999997
20,NC_024711.1_6,YP_010509413.1,100.0,59,0,0,1,59,1,59,8.28e-40,127.0,NC_024711.1,NC_024711.1_6,,60,91284.0,1.0,,NC_067194.1,YP_010509413.1,MAG: hypothetical protein OIE19_gp07,59.0,97065.0,0.0,Carjivirus communis,59.0
21,NC_024711.1_6,YP_009052489.1,100.0,59,0,0,1,59,1,59,8.28e-40,127.0,NC_024711.1,NC_024711.1_6,,60,91284.0,1.0,,,,,,,0.0,,59.0
22,NC_024711.1_6,YP_010509413.1,100.0,59,0,0,1,59,1,59,8.28e-40,127.0,NC_024711.1,NC_024711.1_6,,60,91284.0,1.0,,NC_067194.1,YP_010509413.1,MAG: hypothetical protein OIE19_gp07,59.0,97065.0,0.0,Carjivirus communis,59.0
23,NC_024711.1_6,QWM89711.1,91.5,59,5,0,1,59,53,111,5.86e-36,119.0,NC_024711.1,NC_024711.1_6,,60,91284.0,1.0,,MZ130481.1,QWM89711.1,hypothetical protein,111.0,98001.0,0.0,CrAss-like virus sp.,53.985
24,NC_024711.1_6,YP_010359283.1,91.5,59,5,0,1,59,53,111,5.86e-36,119.0,NC_024711.1,NC_024711.1_6,,60,91284.0,1.0,,NC_062771.1,YP_010359283.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,111,53.985
25,NC_024711.1_7,YP_010509414.1,100.0,193,0,0,1,193,1,193,1.97e-135,379.0,NC_024711.1,NC_024711.1_7,,194,91284.0,1.0,,NC_067194.1,YP_010509414.1,MAG: hypothetical protein OIE19_gp08,193.0,97065.0,0.0,Carjivirus communis,193.0
26,NC_024711.1_7,YP_009052490.1,100.0,193,0,0,1,193,1,193,1.97e-135,379.0,NC_024711.1,NC_024711.1_7,,194,91284.0,1.0,,,,,,,0.0,,193.0
27,NC_024711.1_7,YP_010509414.1,100.0,193,0,0,1,193,1,193,1.97e-135,379.0,NC_024711.1,NC_024711.1_7,,194,91284.0,1.0,,NC_067194.1,YP_010509414.1,MAG: hypothetical protein OIE19_gp08,193.0,97065.0,0.0,Carjivirus communis,193.0
28,NC_024711.1_7,QWM89710.1,36.8,182,111,2,11,192,4,181,4.31e-34,122.0,NC_024711.1,NC_024711.1_7,,194,91284.0,1.0,,MZ130481.1,QWM89710.1,hypothetical protein,183.0,98001.0,0.0,CrAss-like virus sp.,66.976
29,NC_024711.1_7,YP_010359282.1,36.8,182,111,2,11,192,4,181,4.31e-34,122.0,NC_024711.1,NC_024711.1_7,,194,91284.0,1.0,,NC_062771.1,YP_010359282.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,183,66.976
30,NC_024711.1_8,YP_010509415.1,100.0,120,0,0,12,131,1,120,5e-83,241.0,NC_024711.1,NC_024711.1_8,,132,91284.0,1.0,,NC_067194.1,YP_010509415.1,MAG: hypothetical protein OIE19_gp09,120.0,97065.0,0.0,Carjivirus communis,120.0
31,NC_024711.1_8,YP_009052491.1,100.0,120,0,0,12,131,1,120,5e-83,241.0,NC_024711.1,NC_024711.1_8,,132,91284.0,1.0,,,,,,,0.0,,120.0
32,NC_024711.1_8,YP_010509415.1,100.0,120,0,0,12,131,1,120,5e-83,241.0,NC_024711.1,NC_024711.1_8,,132,91284.0,1.0,,NC_067194.1,YP_010509415.1,MAG: hypothetical protein OIE19_gp09,120.0,97065.0,0.0,Carjivirus communis,120.0
33,NC_024711.1_8,QWM89709.1,86.9,130,17,0,1,130,18,147,1.4200000000000002e-79,234.0,NC_024711.1,NC_024711.1_8,,132,91284.0,1.0,,MZ130481.1,QWM89709.1,hypothetical protein,148.0,98001.0,0.0,CrAss-like virus sp.,112.97000000000001
34,NC_024711.1_8,YP_010359281.1,86.9,130,17,0,1,130,18,147,1.4200000000000002e-79,234.0,NC_024711.1,NC_024711.1_8,,132,91284.0,1.0,,NC_062771.1,YP_010359281.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,148,112.97000000000001
35,NC_024711.1_9,YP_010509416.1,100.0,190,0,0,1,190,1,190,4.88e-139,388.0,NC_024711.1,NC_024711.1_9,,191,91284.0,1.0,,NC_067194.1,YP_010509416.1,MAG: hypothetical protein OIE19_gp10,190.0,97065.0,0.0,Carjivirus communis,190.0
36,NC_024711.1_9,YP_009052492.1,100.0,190,0,0,1,190,1,190,4.88e-139,388.0,NC_024711.1,NC_024711.1_9,,191,91284.0,1.0,,,,,,,0.0,,190.0
37,NC_024711.1_9,YP_010509416.1,100.0,190,0,0,1,190,1,190,4.88e-139,388.0,NC_024711.1,NC_024711.1_9,,191,91284.0,1.0,,NC_067194.1,YP_010509416.1,MAG: hypothetical protein OIE19_gp10,190.0,97065.0,0.0,Carjivirus communis,190.0
38,NC_024711.1_9,QWM89708.1,93.2,190,13,0,1,190,1,190,2.2999999999999998e-128,361.0,NC_024711.1,NC_024711.1_9,,191,91284.0,1.0,,MZ130481.1,QWM89708.1,hypothetical protein,190.0,98001.0,0.0,CrAss-like virus sp.,177.07999999999998
39,NC_024711.1_9,YP_010359280.1,93.2,190,13,0,1,190,1,190,2.2999999999999998e-128,361.0,NC_024711.1,NC_024711.1_9,,191,91284.0,1.0,,NC_062771.1,YP_010359280.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,190,177.07999999999998
40,NC_024711.1_10,YP_010509417.1,100.0,92,0,0,1,92,1,92,3.0200000000000002e-59,179.0,NC_024711.1,NC_024711.1_10,,93,91284.0,1.0,,NC_067194.1,YP_010509417.1,MAG: hypothetical protein OIE19_gp11,92.0,97065.0,0.0,Carjivirus communis,92.0
41,NC_024711.1_10,YP_010509417.1,100.0,92,0,0,1,92,1,92,3.0200000000000002e-59,179.0,NC_024711.1,NC_024711.1_10,,93,91284.0,1.0,,NC_067194.1,YP_010509417.1,MAG: hypothetical protein OIE19_gp11,92.0,97065.0,0.0,Carjivirus communis,92.0
42,NC_024711.1_11,YP_010509418.1,100.0,110,0,0,1,110,1,110,2.63e-66,198.0,NC_024711.1,NC_024711.1_11,,111,91284.0,1.0,,NC_067194.1,YP_010509418.1,MAG: hypothetical protein OIE19_gp12,110.0,97065.0,0.0,Carjivirus communis,110.00000000000001
43,NC_024711.1_11,YP_009052493.1,100.0,110,0,0,1,110,1,110,2.63e-66,198.0,NC_024711.1,NC_024711.1_11,,111,91284.0,1.0,,,,,,,0.0,,110.00000000000001
44,NC_024711.1_11,YP_010509418.1,100.0,110,0,0,1,110,1,110,2.63e-66,198.0,NC_024711.1,NC_024711.1_11,,111,91284.0,1.0,,NC_067194.1,YP_010509418.1,MAG: hypothetical protein OIE19_gp12,110.0,97065.0,0.0,Carjivirus communis,110.00000000000001
45,NC_024711.1_11,QWM89706.1,90.0,110,11,0,1,110,1,110,9.12e-58,176.0,NC_024711.1,NC_024711.1_11,,111,91284.0,1.0,,MZ130481.1,QWM89706.1,hypothetical protein,110.0,98001.0,0.0,CrAss-like virus sp.,99.00000000000001
46,NC_024711.1_11,YP_010359278.1,90.0,110,11,0,1,110,1,110,9.12e-58,176.0,NC_024711.1,NC_024711.1_11,,111,91284.0,1.0,,NC_062771.1,YP_010359278.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,110,99.00000000000001
47,NC_024711.1_12,YP_010509419.1,100.0,156,0,0,1,156,1,156,2.0100000000000002e-110,313.0,NC_024711.1,NC_024711.1_12,,157,91284.0,1.0,,NC_067194.1,YP_010509419.1,MAG: hypothetical protein OIE19_gp13,156.0,97065.0,0.0,Carjivirus communis,156.0
48,NC_024711.1_12,YP_009052494.1,100.0,156,0,0,1,156,1,156,2.0100000000000002e-110,313.0,NC_024711.1,NC_024711.1_12,,157,91284.0,1.0,,,,,,,0.0,,156.0
49,NC_024711.1_12,YP_010509419.1,100.0,156,0,0,1,156,1,156,2.0100000000000002e-110,313.0,NC_024711.1,NC_024711.1_12,,157,91284.0,1.0,,NC_067194.1,YP_010509419.1,MAG: hypothetical protein OIE19_gp13,156.0,97065.0,0.0,Carjivirus communis,156.0
50,NC_024711.1_12,QWM89705.1,98.7,156,2,0,1,156,1,156,1.41e-108,308.0,NC_024711.1,NC_024711.1_12,,157,91284.0,1.0,,MZ130481.1,QWM89705.1,hypothetical protein,157.0,98001.0,0.0,CrAss-like virus sp.,153.972
51,NC_024711.1_12,YP_010359277.1,98.7,156,2,0,1,156,1,156,1.41e-108,308.0,NC_024711.1,NC_024711.1_12,,157,91284.0,1.0,,NC_062771.1,YP_010359277.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,157,153.972
52,NC_024711.1_13,YP_010509420.1,100.0,486,0,0,1,486,1,486,0.0,976.0,NC_024711.1,NC_024711.1_13,,487,91284.0,1.0,,NC_067194.1,YP_010509420.1,MAG: putative DNA helicase,486.0,97065.0,0.0,Carjivirus communis,486.00000000000006
53,NC_024711.1_13,YP_009052495.1,100.0,486,0,0,1,486,1,486,0.0,976.0,NC_024711.1,NC_024711.1_13,,487,91284.0,1.0,,,,,,,0.0,,486.00000000000006
54,NC_024711.1_13,YP_010509420.1,100.0,486,0,0,1,486,1,486,0.0,976.0,NC_024711.1,NC_024711.1_13,,487,91284.0,1.0,,NC_067194.1,YP_010509420.1,MAG: putative DNA helicase,486.0,97065.0,0.0,Carjivirus communis,486.00000000000006
55,NC_024711.1_13,QWM89704.1,86.8,486,64,0,1,486,1,486,0.0,869.0,NC_024711.1,NC_024711.1_13,,487,91284.0,1.0,,MZ130481.1,QWM89704.1,SF1 helicase,486.0,98001.0,0.0,CrAss-like virus sp.,421.848
56,NC_024711.1_13,YP_010359276.1,86.8,486,64,0,1,486,1,486,0.0,869.0,NC_024711.1,NC_024711.1_13,,487,91284.0,1.0,,NC_062771.1,YP_010359276.1,SF1 helicase,uncultured phage cr99_1,98001.0,0.0,486,421.848
57,NC_024711.1_14,YP_010509421.1,100.0,184,0,0,1,184,1,184,8.170000000000001e-144,400.0,NC_024711.1,NC_024711.1_14,,185,91284.0,1.0,,NC_067194.1,YP_010509421.1,MAG: putative uracil-DNA glycosylase,184.0,97065.0,0.0,Carjivirus communis,184.0
58,NC_024711.1_14,YP_009052496.1,100.0,184,0,0,1,184,1,184,8.170000000000001e-144,400.0,NC_024711.1,NC_024711.1_14,,185,91284.0,1.0,,,,,,,0.0,,184.0
59,NC_024711.1_14,YP_010509421.1,100.0,184,0,0,1,184,1,184,8.170000000000001e-144,400.0,NC_024711.1,NC_024711.1_14,,185,91284.0,1.0,,NC_067194.1,YP_010509421.1,MAG: putative uracil-DNA glycosylase,184.0,97065.0,0.0,Carjivirus communis,184.0
60,NC_024711.1_14,QWM89703.1,74.9,179,44,1,1,179,1,178,3.2599999999999997e-106,305.0,NC_024711.1,NC_024711.1_14,,185,91284.0,1.0,,MZ130481.1,QWM89703.1,putative uracyl-DNA glycosylase,180.0,98001.0,0.0,CrAss-like virus sp.,134.07100000000003
61,NC_024711.1_14,YP_010359275.1,74.9,179,44,1,1,179,1,178,3.2599999999999997e-106,305.0,NC_024711.1,NC_024711.1_14,,185,91284.0,1.0,,NC_062771.1,YP_010359275.1,putative uracyl-DNA glycosylase,uncultured phage cr99_1,98001.0,0.0,180,134.07100000000003
62,NC_024711.1_15,YP_010509422.1,100.0,775,0,0,1,775,1,775,0.0,1540.0,NC_024711.1,NC_024711.1_15,,776,91284.0,1.0,,NC_067194.1,YP_010509422.1,MAG: DNA polymerase,775.0,97065.0,0.0,Carjivirus communis,775.0
63,NC_024711.1_15,YP_009052497.1,100.0,775,0,0,1,775,1,775,0.0,1540.0,NC_024711.1,NC_024711.1_15,,776,91284.0,1.0,,,,,,,0.0,,775.0
64,NC_024711.1_15,YP_010509422.1,100.0,775,0,0,1,775,1,775,0.0,1540.0,NC_024711.1,NC_024711.1_15,,776,91284.0,1.0,,NC_067194.1,YP_010509422.1,MAG: DNA polymerase,775.0,97065.0,0.0,Carjivirus communis,775.0
65,NC_024711.1_15,QWM89702.1,92.0,775,61,1,1,774,1,775,0.0,1429.0,NC_024711.1,NC_024711.1_15,,776,91284.0,1.0,,MZ130481.1,QWM89702.1,DNA polymerase family B,776.0,98001.0,0.0,CrAss-like virus sp.,713.0
66,NC_024711.1_15,YP_010359274.1,92.0,775,61,1,1,774,1,775,0.0,1429.0,NC_024711.1,NC_024711.1_15,,776,91284.0,1.0,,NC_062771.1,YP_010359274.1,DNA polymerase,uncultured phage cr99_1,98001.0,0.0,776,713.0
67,NC_024711.1_16,YP_010509423.1,100.0,461,0,0,1,461,1,461,0.0,923.0,NC_024711.1,NC_024711.1_16,,462,91284.0,1.0,,NC_067194.1,YP_010509423.1,MAG: putative SWI2/SNF2 ATPase non-canonical Walker A motif,461.0,97065.0,0.0,Carjivirus communis,461.00000000000006
68,NC_024711.1_16,YP_009052498.1,100.0,461,0,0,1,461,1,461,0.0,923.0,NC_024711.1,NC_024711.1_16,,462,91284.0,1.0,,,,,,,0.0,,461.00000000000006
69,NC_024711.1_16,YP_010509423.1,100.0,461,0,0,1,461,1,461,0.0,923.0,NC_024711.1,NC_024711.1_16,,462,91284.0,1.0,,NC_067194.1,YP_010509423.1,MAG: putative SWI2/SNF2 ATPase non-canonical Walker A motif,461.0,97065.0,0.0,Carjivirus communis,461.00000000000006
70,NC_024711.1_16,QWM89701.1,79.5,342,70,0,1,342,1,342,2.83e-203,568.0,NC_024711.1,NC_024711.1_16,,462,91284.0,1.0,,MZ130481.1,QWM89701.1,"putative SWI2/SNF2 ATPase, non-canonical Walker A motif",344.0,98001.0,0.0,CrAss-like virus sp.,271.89
71,NC_024711.1_16,YP_010359273.1,79.5,342,70,0,1,342,1,342,2.83e-203,568.0,NC_024711.1,NC_024711.1_16,,462,91284.0,1.0,,NC_062771.1,YP_010359273.1,putative SWI2/SNF2 ATPase- non-canonical Walker A motif,uncultured phage cr99_1,98001.0,0.0,344,271.89
72,NC_024711.1_17,YP_010509424.1,100.0,310,0,0,1,310,1,310,1.46e-227,622.0,NC_024711.1,NC_024711.1_17,,311,91284.0,1.0,,NC_067194.1,YP_010509424.1,MAG: putative RecT phage RecT recombinase,310.0,97065.0,0.0,Carjivirus communis,310.0
73,NC_024711.1_17,YP_009052499.1,100.0,310,0,0,1,310,1,310,1.46e-227,622.0,NC_024711.1,NC_024711.1_17,,311,91284.0,1.0,,,,,,,0.0,,310.0
74,NC_024711.1_17,YP_010509424.1,100.0,310,0,0,1,310,1,310,1.46e-227,622.0,NC_024711.1,NC_024711.1_17,,311,91284.0,1.0,,NC_067194.1,YP_010509424.1,MAG: putative RecT phage RecT recombinase,310.0,97065.0,0.0,Carjivirus communis,310.0
75,NC_024711.1_17,QWM89698.1,90.3,309,30,0,1,309,1,309,1.6e-208,574.0,NC_024711.1,NC_024711.1_17,,311,91284.0,1.0,,MZ130481.1,QWM89698.1,RecT recombinase,309.0,98001.0,0.0,CrAss-like virus sp.,279.027
76,NC_024711.1_17,YP_010359270.1,90.3,309,30,0,1,309,1,309,1.6e-208,574.0,NC_024711.1,NC_024711.1_17,,311,91284.0,1.0,,NC_062771.1,YP_010359270.1,RecT recombinase,uncultured phage cr99_1,98001.0,0.0,309,279.027
77,NC_024711.1_18,YP_010509425.1,100.0,275,0,0,1,275,1,275,3.9000000000000005e-194,535.0,NC_024711.1,NC_024711.1_18,,276,91284.0,1.0,,NC_067194.1,YP_010509425.1,MAG: hypothetical protein OIE19_gp19,275.0,97065.0,0.0,Carjivirus communis,275.0
78,NC_024711.1_18,YP_009052500.1,100.0,275,0,0,1,275,1,275,3.9000000000000005e-194,535.0,NC_024711.1,NC_024711.1_18,,276,91284.0,1.0,,,,,,,0.0,,275.0
79,NC_024711.1_18,YP_010509425.1,100.0,275,0,0,1,275,1,275,3.9000000000000005e-194,535.0,NC_024711.1,NC_024711.1_18,,276,91284.0,1.0,,NC_067194.1,YP_010509425.1,MAG: hypothetical protein OIE19_gp19,275.0,97065.0,0.0,Carjivirus communis,275.0
80,NC_024711.1_18,QWM89697.1,92.3,273,21,0,1,273,1,273,3.03e-182,504.0,NC_024711.1,NC_024711.1_18,,276,91284.0,1.0,,MZ130481.1,QWM89697.1,hypothetical protein,275.0,98001.0,0.0,CrAss-like virus sp.,251.97899999999998
81,NC_024711.1_18,YP_010359269.1,92.3,273,21,0,1,273,1,273,3.03e-182,504.0,NC_024711.1,NC_024711.1_18,,276,91284.0,1.0,,NC_062771.1,YP_010359269.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,275,251.97899999999998
82,NC_024711.1_19,YP_010509426.1,100.0,339,0,0,1,339,1,339,7.76e-249,678.0,NC_024711.1,NC_024711.1_19,,340,91284.0,1.0,,NC_067194.1,YP_010509426.1,MAG: putative ssb single stranded DNA-binding protein,339.0,97065.0,0.0,Carjivirus communis,339.0
83,NC_024711.1_19,YP_009052501.1,100.0,339,0,0,1,339,1,339,7.76e-249,678.0,NC_024711.1,NC_024711.1_19,,340,91284.0,1.0,,,,,,,0.0,,339.0
84,NC_024711.1_19,YP_010509426.1,100.0,339,0,0,1,339,1,339,7.76e-249,678.0,NC_024711.1,NC_024711.1_19,,340,91284.0,1.0,,NC_067194.1,YP_010509426.1,MAG: putative ssb single stranded DNA-binding protein,339.0,97065.0,0.0,Carjivirus communis,339.0
85,NC_024711.1_19,QWM89696.1,88.5,339,39,0,1,339,1,339,3.72e-215,593.0,NC_024711.1,NC_024711.1_19,,340,91284.0,1.0,,MZ130481.1,QWM89696.1,SSB single stranded DNA-binding protein,339.0,98001.0,0.0,CrAss-like virus sp.,300.015
86,NC_024711.1_19,YP_010359268.1,88.5,339,39,0,1,339,1,339,3.72e-215,593.0,NC_024711.1,NC_024711.1_19,,340,91284.0,1.0,,NC_062771.1,YP_010359268.1,SSB single stranded DNA-binding protein,uncultured phage cr99_1,98001.0,0.0,339,300.015
87,NC_024711.1_20,YP_010509427.1,100.0,431,0,0,1,431,1,431,0.0,880.0,NC_024711.1,NC_024711.1_20,,432,91284.0,1.0,,NC_067194.1,YP_010509427.1,MAG: DNA primase,431.0,97065.0,0.0,Carjivirus communis,430.99999999999994
88,NC_024711.1_20,YP_010509427.1,100.0,431,0,0,1,431,1,431,0.0,880.0,NC_024711.1,NC_024711.1_20,,432,91284.0,1.0,,NC_067194.1,YP_010509427.1,MAG: DNA primase,431.0,97065.0,0.0,Carjivirus communis,430.99999999999994
89,NC_024711.1_20,QWM89695.1,93.0,431,30,0,1,431,1,431,1.5e-304,827.0,NC_024711.1,NC_024711.1_20,,432,91284.0,1.0,,MZ130481.1,QWM89695.1,DnaG family primase,431.0,98001.0,0.0,CrAss-like virus sp.,400.83
90,NC_024711.1_20,YP_010359267.1,93.0,431,30,0,1,431,1,431,1.5e-304,827.0,NC_024711.1,NC_024711.1_20,,432,91284.0,1.0,,NC_062771.1,YP_010359267.1,DNA primase,uncultured phage cr99_1,98001.0,0.0,431,400.83
91,NC_024711.1_20,YP_009052502.3,100.0,403,0,0,29,431,1,403,2.45e-303,823.0,NC_024711.1,NC_024711.1_20,,432,91284.0,1.0,,,,,,,0.0,,403.0
92,NC_024711.1_21,QWM89694.1,84.5,142,22,0,1,142,1,142,2.73e-90,261.0,NC_024711.1,NC_024711.1_21,,143,91284.0,1.0,,MZ130481.1,QWM89694.1,hypothetical protein,142.0,98001.0,0.0,CrAss-like virus sp.,119.99
93,NC_024711.1_21,YP_010359266.1,84.5,142,22,0,1,142,1,142,2.73e-90,261.0,NC_024711.1,NC_024711.1_21,,143,91284.0,1.0,,NC_062771.1,YP_010359266.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,142,119.99
94,NC_024711.1_21,YP_010509428.1,100.0,113,0,0,30,142,1,113,8.829999999999999e-83,241.0,NC_024711.1,NC_024711.1_21,,143,91284.0,1.0,,NC_067194.1,YP_010509428.1,MAG: hypothetical protein OIE19_gp22,113.0,97065.0,0.0,Carjivirus communis,112.99999999999999
95,NC_024711.1_21,YP_009052503.1,100.0,113,0,0,30,142,1,113,8.829999999999999e-83,241.0,NC_024711.1,NC_024711.1_21,,143,91284.0,1.0,,,,,,,0.0,,112.99999999999999
96,NC_024711.1_21,YP_010509428.1,100.0,113,0,0,30,142,1,113,8.829999999999999e-83,241.0,NC_024711.1,NC_024711.1_21,,143,91284.0,1.0,,NC_067194.1,YP_010509428.1,MAG: hypothetical protein OIE19_gp22,113.0,97065.0,0.0,Carjivirus communis,112.99999999999999
97,NC_024711.1_22,YP_010509429.1,100.0,186,0,0,1,186,1,186,8.769999999999999e-131,367.0,NC_024711.1,NC_024711.1_22,,187,91284.0,1.0,,NC_067194.1,YP_010509429.1,MAG: hypothetical protein OIE19_gp23,186.0,97065.0,0.0,Carjivirus communis,186.0
98,NC_024711.1_22,YP_009052504.1,100.0,186,0,0,1,186,1,186,8.769999999999999e-131,367.0,NC_024711.1,NC_024711.1_22,,187,91284.0,1.0,,,,,,,0.0,,186.0
99,NC_024711.1_22,YP_010509429.1,100.0,186,0,0,1,186,1,186,8.769999999999999e-131,367.0,NC_024711.1,NC_024711.1_22,,187,91284.0,1.0,,NC_067194.1,YP_010509429.1,MAG: hypothetical protein OIE19_gp23,186.0,97065.0,0.0,Carjivirus communis,186.0
100,NC_024711.1_22,QWM89693.1,79.0,186,39,0,1,186,1,186,3.97e-102,295.0,NC_024711.1,NC_024711.1_22,,187,91284.0,1.0,,MZ130481.1,QWM89693.1,hypothetical protein,186.0,98001.0,0.0,CrAss-like virus sp.,146.94
101,NC_024711.1_22,YP_010359265.1,79.0,186,39,0,1,186,1,186,3.97e-102,295.0,NC_024711.1,NC_024711.1_22,,187,91284.0,1.0,,NC_062771.1,YP_010359265.1,hypothetical protein,uncultured phage cr99_1,98001.0,0.0,186,146.94
