qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,protein_ncbi_acc,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,ASR75483.1,74.8,107,27,0,1,107,248,354,7.69e-58,184.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75483.1,DNA primase,Streptomyces phage Mildred21,354.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,AYB70917.1,59.3,108,42,1,1,106,250,357,8.24e-42,142.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AYB70917.1,DNA primase,Streptomyces phage Yaboi,358.0,MH727564.1,131250.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Yaboi,E,Streptomyces phage Yaboi,,,MH727564,NC_048730,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,AXH67266.1,57.4,108,44,1,1,106,226,333,3.86e-41,140.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH67266.1,DNA primase,Streptomyces phage Wollford,334.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,AXH69948.1,57.4,108,44,1,1,106,250,357,9e-41,140.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH69948.1,DNA primase,Streptomyces phage Karimac,358.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,AXH66828.1,57.4,108,44,1,1,106,244,351,1.58e-40,139.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH66828.1,DNA primase,Streptomyces phage StarPlatinum,352.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,AXH69605.1,57.4,108,44,1,1,106,250,357,6.97e-40,137.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH69605.1,DNA primase,Streptomyces phage LukeCage,358.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,AVD99255.1,54.5,110,46,1,2,107,251,360,2.19e-38,134.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AVD99255.1,DNA primase,Streptomyces phage BillNye,360.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,QBP30876.1,84.6,254,35,2,1,250,1,254,4.4699999999999996e-150,421.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QBP30876.1,DNA binding protein,Streptomyces phage EGole,254.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,ASR77784.1,84.3,254,36,2,1,250,1,254,1.28e-149,419.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77784.1,hypothetical protein SEA_PEEBS_78,Streptomyces phage Peebs,254.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AST15310.1,83.9,254,37,2,1,250,1,254,5.2e-149,418.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AST15310.1,hypothetical protein SEA_SAMISTI12_79,Streptomyces phage Samisti12,254.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,QDH93946.1,83.1,255,38,2,1,250,1,255,1.7999999999999998e-147,414.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH93946.1,DNA binding protein,Streptomyces phage Evy,255.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AIW02581.1,82.7,255,39,2,1,250,1,255,3.63e-147,413.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AIW02581.1,hypothetical protein PBI_JAY2JAY_83,Streptomyces phage Jay2Jay,255.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,QGH76388.1,65.5,258,80,3,1,250,1,257,1.13e-111,323.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76388.1,hypothetical protein SEA_DAUBENSKI_80,Streptomyces phage Daubenski,257.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,QJD50826.1,66.1,257,79,3,1,250,1,256,1.5499999999999999e-111,323.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50826.1,DNA binding protein,Streptomyces phage Bmoc,256.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,QDK02934.1,62.5,264,85,3,1,250,1,264,1.49e-106,311.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDK02934.1,DNA binding protein,Streptomyces phage Braelyn,264.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,ASR77342.1,62.6,265,84,3,1,250,1,265,1.54e-106,311.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77342.1,hypothetical protein SEA_NOOTNOOT_74,Streptomyces phage NootNoot,265.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,ASR77563.1,62.6,265,84,3,1,250,1,265,1.54e-106,311.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77563.1,hypothetical protein SEA_PARADIDDLES_74,Streptomyces phage Paradiddles,265.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,ASR75484.1,63.3,256,87,3,1,250,1,255,3.13e-106,310.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75484.1,hypothetical protein SEA_MILDRED21_77,Streptomyces phage Mildred21,255.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AYB70918.1,46.1,230,112,4,1,220,1,228,1.66e-52,173.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AYB70918.1,hypothetical protein SEA_YABOI_81,Streptomyces phage Yaboi,267.0,MH727564.1,131250.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Yaboi,E,Streptomyces phage Yaboi,,,MH727564,NC_048730,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AXH67267.1,43.5,230,118,4,1,220,1,228,1.18e-49,166.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH67267.1,DNA binding protein,Streptomyces phage Wollford,267.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AXH69606.1,42.1,271,134,8,1,250,1,269,1.9599999999999998e-48,163.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH69606.1,DNA binding protein,Streptomyces phage LukeCage,269.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AXH66829.1,42.1,271,134,8,1,250,1,269,2.7699999999999996e-48,162.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH66829.1,DNA binding protein,Streptomyces phage StarPlatinum,269.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AXH69940.1,43.1,232,118,5,1,220,1,230,4.470000000000001e-47,159.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH69940.1,DNA binding protein,Streptomyces phage Karimac,270.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AVD99256.1,34.0,262,145,12,1,250,1,246,8.55e-29,111.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AVD99256.1,ssDNA binding protein,Streptomyces phage BillNye,246.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AXH49201.1,33.9,248,139,11,1,242,1,229,5.4099999999999995e-28,109.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH49201.1,ssDNA-binding protein,Streptomyces phage Blueeyedbeauty,238.0,MH536814.1,130473.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus blueeyedbeauty,E,Streptomyces phage Blueeyedbeauty,,,MH536814,NC_048720,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AXG66177.1,33.9,248,139,11,1,242,1,229,2.0900000000000003e-27,107.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXG66177.1,ssDNA-binding protein,Streptomyces phage Annadreamy,238.0,MH536811.1,125726.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus annadreamy,E,Streptomyces phage Annadreamy,,,MH536811,NC_048719,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AXQ63330.1,33.3,255,140,12,3,250,4,235,3.83e-27,107.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXQ63330.1,ssDNA-binding protein,Streptomyces phage Comrade,235.0,MH651172.1,129015.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus comrade,E,Streptomyces phage Comrade,,,MH651172,NC_048728,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_2,AZU97137.1,36.9,214,115,9,4,212,5,203,5.79e-26,103.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AZU97137.1,ssDNA binding protein,Streptomyces phage Gilson,236.0,MK061412.1,128338.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus gilson,E,Streptomyces phage Gilson,,,MK061412,NC_048742,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,AST15311.1,88.2,1094,129,0,1,1094,1,1094,0.0,1964.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AST15311.1,DnaE-like DNA polymerase III alpha,Streptomyces phage Samisti12,1094.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,ASR77785.1,88.0,1094,131,0,1,1094,1,1094,0.0,1961.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77785.1,DnaE-like DNA polymerase III alpha,Streptomyces phage Peebs,1094.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,QBP30877.1,88.0,1094,131,0,1,1094,1,1094,0.0,1961.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QBP30877.1,DnaE-like DNA polymerase III subunit alpha,Streptomyces phage EGole,1094.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,QGH76389.1,87.3,1094,139,0,1,1094,1,1094,0.0,1949.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76389.1,DnaE-like DNA polymerase III alpha,Streptomyces phage Daubenski,1094.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,AIW02582.1,86.8,1094,144,0,1,1094,1,1094,0.0,1936.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AIW02582.1,DnaE-like DNA polymerase III (alpha),Streptomyces phage Jay2Jay,1094.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,ASR77564.1,86.8,1094,144,0,1,1094,1,1094,0.0,1934.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77564.1,DnaE-like DNA polymerase III alpha,Streptomyces phage Paradiddles,1094.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,QDH93947.1,86.7,1094,145,0,1,1094,1,1094,0.0,1934.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH93947.1,DnaE-like DNA polymerase III subunit alpha,Streptomyces phage Evy,1094.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,QDK02935.1,86.8,1094,144,0,1,1094,1,1094,0.0,1934.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDK02935.1,DnaE-like DNA polymerase III alpha,Streptomyces phage Braelyn,1094.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,ASR77343.1,86.8,1094,144,0,1,1094,1,1094,0.0,1933.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77343.1,DnaE-like DNA polymerase III alpha,Streptomyces phage NootNoot,1094.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,QJD50827.1,86.5,1094,148,0,1,1094,1,1094,0.0,1927.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50827.1,DnaE-like DNA polymerase III alpha,Streptomyces phage Bmoc,1094.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,ASR75485.1,86.7,1092,145,0,3,1094,4,1095,0.0,1925.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75485.1,DnaE-like DNA polymerase III alpha,Streptomyces phage Mildred21,1095.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,AVD99258.1,68.0,1089,348,0,6,1094,5,1093,0.0,1517.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AVD99258.1,DNA polymerase III alpha,Streptomyces phage BillNye,1095.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_3,AZU97139.1,65.6,1090,374,1,6,1094,5,1094,0.0,1448.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AZU97139.1,DnaE-like DNA polymerase III,Streptomyces phage Gilson,1096.0,MK061412.1,128338.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus gilson,E,Streptomyces phage Gilson,,,MK061412,NC_048742,Complete genome,dsDNA,bacteria
