qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,protein_ncbi_acc,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,conserved_AA_#
AT10B_S2_NODE_1_length_122269_cov_11.242561_109,QDH94055.1,87.3,63,8,0,1,63,1,63,5.49e-38,122.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH94055.1,hypothetical protein SEA_EVY_220,Streptomyces phage Evy,63.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria,54.998999999999995
AT10B_S2_NODE_1_length_122269_cov_11.242561_11,ASR77694.1,88.3,257,30,0,1,257,1,257,3.47e-177,489.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77694.1,Cas4 family exonuclease,Streptomyces phage Paradiddles,257.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,226.93099999999998
AT10B_S2_NODE_1_length_122269_cov_11.242561_110,AST15421.1,72.1,68,19,0,4,71,9,76,5.26e-34,113.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AST15421.1,hypothetical protein SEA_SAMISTI12_235,Streptomyces phage Samisti12,76.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria,49.028
AT10B_S2_NODE_1_length_122269_cov_11.242561_112,QDK02900.1,44.3,131,65,2,6,135,4,127,8.640000000000001e-31,109.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDK02900.1,HNH endonuclease,Streptomyces phage Braelyn,133.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,58.033
AT10B_S2_NODE_1_length_122269_cov_11.242561_114,ASR77890.1,51.3,39,19,0,3,41,4,42,6.81e-06,42.4,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77890.1,hypothetical protein SEA_PEEBS_231,Streptomyces phage Peebs,78.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,20.006999999999998
AT10B_S2_NODE_1_length_122269_cov_11.242561_115,AIW02695.1,82.5,200,35,0,1,200,1,200,2.63e-121,343.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AIW02695.1,hypothetical protein PBI_JAY2JAY_242,Streptomyces phage Jay2Jay,200.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,165.0
AT10B_S2_NODE_1_length_122269_cov_11.242561_116,QDK03046.1,77.8,63,13,1,1,62,1,63,1.21e-25,91.3,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDK03046.1,hypothetical protein SEA_BRAELYN_231,Streptomyces phage Braelyn,63.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,49.013999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_117,ASR77656.1,69.5,82,23,1,1,82,1,80,1.73e-32,110.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77656.1,hypothetical protein SEA_PARADIDDLES_228,Streptomyces phage Paradiddles,80.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,56.989999999999995
AT10B_S2_NODE_1_length_122269_cov_11.242561_118,ASR77456.1,60.9,87,33,1,1,86,1,87,1.9700000000000002e-33,112.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77456.1,hypothetical protein SEA_NOOTNOOT_234,Streptomyces phage NootNoot,90.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,52.983
AT10B_S2_NODE_1_length_122269_cov_11.242561_119,QGH76499.1,63.7,135,47,1,4,136,3,137,8.02e-59,181.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76499.1,hypothetical protein SEA_DAUBENSKI_232,Streptomyces phage Daubenski,139.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,85.995
AT10B_S2_NODE_1_length_122269_cov_11.242561_12,QGH76399.1,89.9,188,19,0,1,188,1,188,3.04e-119,337.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76399.1,RuvC-like resolvase,Streptomyces phage Daubenski,188.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,169.012
AT10B_S2_NODE_1_length_122269_cov_11.242561_120,QDH94064.1,70.0,100,30,0,1,100,6,105,1.4200000000000001e-44,142.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH94064.1,thioredoxin,Streptomyces phage Evy,105.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria,70.0
AT10B_S2_NODE_1_length_122269_cov_11.242561_121,QJD50956.1,81.0,42,8,0,4,45,8,49,5.37e-20,75.9,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50956.1,membrane protein,Streptomyces phage Bmoc,49.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,34.019999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_123,QGH76502.1,84.9,159,24,0,1,159,1,159,1.99e-96,277.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76502.1,hypothetical protein SEA_DAUBENSKI_235,Streptomyces phage Daubenski,159.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,134.991
AT10B_S2_NODE_1_length_122269_cov_11.242561_125,ASR75615.1,82.4,165,29,0,1,165,1,165,1.38e-99,286.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75615.1,hypothetical protein SEA_MILDRED21_258,Streptomyces phage Mildred21,165.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,135.96
AT10B_S2_NODE_1_length_122269_cov_11.242561_126,ASR77902.1,54.1,74,33,1,1,74,1,73,9.650000000000001e-21,79.7,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77902.1,hypothetical protein SEA_PEEBS_243,Streptomyces phage Peebs,73.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,40.034
AT10B_S2_NODE_1_length_122269_cov_11.242561_127,QJD50962.1,84.6,78,12,0,1,78,1,78,2.1200000000000001e-44,139.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50962.1,hypothetical protein SEA_BMOC_254,Streptomyces phage Bmoc,78.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,65.988
AT10B_S2_NODE_1_length_122269_cov_11.242561_128,QJD50963.1,70.7,92,24,1,1,89,1,92,2.5e-44,140.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50963.1,hypothetical protein SEA_BMOC_255,Streptomyces phage Bmoc,92.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,65.04400000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_13,ASR77572.1,77.5,151,34,0,1,151,1,151,4.02e-84,246.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77572.1,DprA-like ssDNA binding protein,Streptomyces phage Paradiddles,153.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,117.025
AT10B_S2_NODE_1_length_122269_cov_11.242561_130,ASR75621.1,78.3,69,14,1,16,83,1,69,1.9500000000000002e-33,112.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75621.1,hypothetical protein SEA_MILDRED21_264,Streptomyces phage Mildred21,69.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,54.026999999999994
AT10B_S2_NODE_1_length_122269_cov_11.242561_131,QDH94074.1,83.0,336,50,2,1,329,1,336,1.6899999999999998e-197,547.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH94074.1,hypothetical protein SEA_EVY_240,Streptomyces phage Evy,337.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria,278.88
AT10B_S2_NODE_1_length_122269_cov_11.242561_132,QDH94075.1,62.5,112,39,1,49,157,44,155,3.0899999999999998e-40,135.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH94075.1,hypothetical protein SEA_EVY_241,Streptomyces phage Evy,155.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria,70.0
AT10B_S2_NODE_1_length_122269_cov_11.242561_133,AST15440.1,45.1,144,71,1,1,136,1,144,1.56e-33,117.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AST15440.1,hypothetical protein SEA_SAMISTI12_255,Streptomyces phage Samisti12,146.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria,64.944
AT10B_S2_NODE_1_length_122269_cov_11.242561_134,QJD50969.1,80.4,107,21,0,1,107,1,107,7.25e-58,176.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50969.1,hypothetical protein SEA_BMOC_261,Streptomyces phage Bmoc,111.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,86.028
AT10B_S2_NODE_1_length_122269_cov_11.242561_135,QBP31000.1,89.8,49,5,0,1,49,1,49,3.8200000000000005e-27,94.4,AT10B_S15_NODE_1_length_45468_cov_7,103329,QBP31000.1,hypothetical protein SEA_EGOLE_260,Streptomyces phage EGole,54.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,44.001999999999995
AT10B_S2_NODE_1_length_122269_cov_11.242561_136,ASR77913.1,69.4,173,50,3,1,173,3,172,5.589999999999999e-68,206.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77913.1,Lsr2-like DNA bridging protein,Streptomyces phage Peebs,172.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,120.06200000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_137,QGH76518.1,78.7,244,52,0,1,244,1,244,5.04e-143,402.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76518.1,hypothetical protein SEA_DAUBENSKI_253,Streptomyces phage Daubenski,244.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,192.028
AT10B_S2_NODE_1_length_122269_cov_11.242561_138,ASR75629.1,67.0,91,30,0,1,91,1,91,3.3300000000000004e-47,147.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75629.1,hypothetical protein SEA_MILDRED21_272,Streptomyces phage Mildred21,91.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,60.97
AT10B_S2_NODE_1_length_122269_cov_11.242561_139,QDH94082.1,79.2,101,21,0,1,101,1,101,3.65e-51,158.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH94082.1,ParB-like nuclease domain protein,Streptomyces phage Evy,101.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria,79.992
AT10B_S2_NODE_1_length_122269_cov_11.242561_14,QGH76401.1,72.0,50,14,0,1,50,1,50,1.82e-20,77.4,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76401.1,hypothetical protein SEA_DAUBENSKI_94,Streptomyces phage Daubenski,50.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,36.0
AT10B_S2_NODE_1_length_122269_cov_11.242561_140,ASR75631.1,77.8,99,22,0,1,99,1,99,2.82e-54,166.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75631.1,ParB-like nuclease domain protein,Streptomyces phage Mildred21,99.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,77.02199999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_141,QJD50975.1,69.3,88,27,0,1,88,1,88,1.07e-35,118.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50975.1,hypothetical protein SEA_BMOC_267,Streptomyces phage Bmoc,89.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,60.983999999999995
AT10B_S2_NODE_1_length_122269_cov_11.242561_144,QDH94087.1,63.4,93,34,0,1,93,1,93,1.0099999999999999e-42,136.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH94087.1,hypothetical protein SEA_EVY_253,Streptomyces phage Evy,93.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria,58.962
AT10B_S2_NODE_1_length_122269_cov_11.242561_147,QBP31012.1,82.7,104,18,0,1,104,1,104,9.94e-64,190.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QBP31012.1,hypothetical protein SEA_EGOLE_272,Streptomyces phage EGole,104.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,86.00800000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_148,ASR77486.1,81.2,101,19,0,3,103,4,104,1.85e-61,184.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77486.1,hypothetical protein SEA_NOOTNOOT_264,Streptomyces phage NootNoot,104.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,82.012
AT10B_S2_NODE_1_length_122269_cov_11.242561_149,QDH94093.1,91.2,68,6,0,2,69,4,71,1.95e-39,126.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH94093.1,hypothetical protein SEA_EVY_259,Streptomyces phage Evy,73.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria,62.016000000000005
AT10B_S2_NODE_1_length_122269_cov_11.242561_15,ALM64629.1,31.0,174,100,6,26,187,7,172,1.13e-16,76.3,AT10B_S15_NODE_1_length_45468_cov_7,103329,ALM64629.1,HNH endonuclease,Lactococcus phage 936 group phage PhiM1127,174.0,KP793132.1,32682.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Skunavirus,,Skunavirus M1127,E,Lactococcus phage 936 group phage PhiM1127,,,KP793132,NC_049368,Complete genome,dsDNA,bacteria,53.94
AT10B_S2_NODE_1_length_122269_cov_11.242561_150,ASR77488.1,83.0,47,8,0,35,81,1,47,1.16e-21,81.6,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77488.1,hypothetical protein SEA_NOOTNOOT_266,Streptomyces phage NootNoot,47.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,39.01
AT10B_S2_NODE_1_length_122269_cov_11.242561_151,QGH76530.1,80.7,145,28,0,1,145,1,145,1.15e-86,251.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76530.1,HNH endonuclease,Streptomyces phage Daubenski,145.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,117.015
