genome_ID	genome_length	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	classified
FM164764.1	28096.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Azorudivirus		Azorudivirus SRV	E	Stygiolobus rod-shaped virus	SRV		FM164764	NC_025375	Complete coding genome	dsDNA	archaea	1.0
KP282675.1	29763.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus ARV2	E	Acidianus rod-shaped virus 2	ARV2		KP282675	NC_029314	Complete coding genome	dsDNA	archaea	1.0
MN876842.1	23666.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus ARV3	E	Acidianus rod-shaped virus 3	ARV3		MN876842		Complete coding genome	dsDNA	archaea	1.0
MN876843.1	20269.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus MRV1	E	Metallosphaera rod-shaped virus 1	MRV1		MN876843		Complete coding genome	dsDNA	archaea	1.0
MN876841.1	26097.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus SSRV1	E	Saccharolobus solfataricus rod-shaped virus 1	SSRV1		MN876841		Complete coding genome	dsDNA	archaea	1.0
AJ414696.1	32308.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus SIRV1	E	Sulfolobus islandicus rod-shaped virus 1	SIRV1		AJ414696	NC_004087	Complete genome	dsDNA	archaea	1.0
AJ344259.1	35450.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus SIRV2	E	Sulfolobus islandicus rod-shaped virus 2	SIRV2		AJ344259	NC_004086	Complete genome	dsDNA	archaea	1.0
KX712143.1	32995.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus SIRV3	E	Sulfolobus islandicus rod-shaped virus 3	SIRV3		KX712143	NC_030884	Complete coding genome	dsDNA	archaea	1.0
AJ875026.1	24655.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Itarudivirus		Itarudivirus ARV1	E	Acidianus rod-shaped virus 1	ARV1		AJ875026	NC_009965	Complete coding genome	dsDNA	archaea	1.0
MK064565.1	34025.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Japarudivirus		Japarudivirus SBRV1	E	Sulfolobales Beppu rod-shaped virus 1	SBRV1		MK064565		Complete coding genome	dsDNA	archaea	1.0
JX944686.1	27431.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Mexirudivirus		Mexirudivirus SMRV1	E	Sulfolobales Mexican rod-shaped virus 1	SMRV1		JX944686	NC_019413	Complete coding genome	dsDNA	archaea	1.0
KY744231.1	35035.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV4	E	Sulfolobus islandicus rod-shaped virus 4	SIRV4		KY744231	NC_034628	Complete coding genome	dsDNA	archaea	1.0
KY744233.1	36306.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV5	E	Sulfolobus islandicus rod-shaped virus 5	SIRV5		KY744233	NC_034621	Complete coding genome	dsDNA	archaea	1.0
KY744229.1	36493.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV8	E	Sulfolobus islandicus rod-shaped virus 8	SIRV8		KY744229	NC_034623	Complete coding genome	dsDNA	archaea	1.0
KY744228.1	36391.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV9	E	Sulfolobus islandicus rod-shaped virus 9	SIRV9		KY744228	NC_034620	Complete coding genome	dsDNA	archaea	1.0
KY744230.1	32735.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV10	E	Sulfolobus islandicus rod-shaped virus 10	SIRV10		KY744230	NC_034625	Complete coding genome	dsDNA	archaea	1.0
KY744234.1	33356.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV11	E	Sulfolobus islandicus rod-shaped virus 11	SIRV11		KY744234	NC_034624	Complete coding genome	dsDNA	archaea	1.0
AJ567472.1	20869.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Ungulaviridae		Captovirus		Captovirus AFV1	E	Acidianus filamentous virus 1	AFV1		AJ567472	NC_005830	Complete genome	dsDNA	archaea	1.0
KU307456.1	17714.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus PFV1	E	Pyrobaculum filamentous virus 1	PFV1		KU307456	NC_029548	Complete genome	dsDNA	archaea	1.0
MN876844.1	17602.0	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus PFV2	E	Pyrobaculum filamentous virus 2	PFV2		MN876844		Complete genome	dsDNA	archaea	1.0
		Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Betatristromavirus		Betatristromavirus TTV1	E	Thermoproteus tenax virus 1	TTV1		X14855	NC_038931	Partial genome	dsDNA	archaea	1.0
DQ665917.1	220859.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batrachovirus		Ranid herpesvirus 1	E	Lucké tumor herpesvirus; ranid herpesvirus 1	LTHV; RaHV1	McKinnell	DQ665917	NC_008211	Complete genome	dsDNA	vertebrates	1.0
DQ665652.1	231801.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batrachovirus		Ranid herpesvirus 2	E	frog virus 4; ranid herpesvirus 2	FV4; RaHV2	Rafferty	DQ665652	NC_008210	Complete genome	dsDNA	vertebrates	1.0
KX832224.1	207914.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batrachovirus		Ranid herpesvirus 3	E	ranid herpesvirus 3	RaHV3	FO1_2015	KX832224	NC_034618	Complete genome	dsDNA	vertebrates	1.0
FJ940765.3	248526.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyprinivirus		Anguillid herpesvirus 1	E	Japanese eel herpesvirus; anguillid herpesvirus 1	AngHV1	500138	FJ940765	NC_013668	Complete genome	dsDNA	vertebrates	1.0
JQ815363.1	291144.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyprinivirus		Cyprinid herpesvirus 1	E	carp pox herpesvirus; cyprinid herpesvirus 1	CyHV1	NG-J1	JQ815363	NC_019491	Complete genome	dsDNA	vertebrates	1.0
JQ815364.1	290304.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyprinivirus		Cyprinid herpesvirus 2	E	goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2	CyHV2	ST-J1	JQ815364	NC_019495	Complete genome	dsDNA	vertebrates	1.0
DQ657948.1	295146.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyprinivirus		Cyprinid herpesvirus 3	E	koi herpesvirus; cyprinid herpesvirus 3	KHV; CyHV3	KHV-U	DQ657948	NC_009127	Complete genome	dsDNA	vertebrates	1.0
FJ815289.2	66037.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictalurivirus		Acipenserid herpesvirus 2	E	white sturgeon herpesvirus 2; acipenserid herpesvirus 2	AciHV2	SRWSHV	FJ815289	NC_043042	Partial genome	dsDNA	vertebrates	1.0
MG271984.1	142925.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictalurivirus		Ictalurid herpesvirus 2	E	black bullhead herpesvirus; ictalurid herpesvirus 2	IcHV2	760/94	MG271984	NC_036579	Complete genome	dsDNA	vertebrates	1.0
AF023673.1	4245.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmonivirus		Salmonid herpesvirus 1	E	herpesvirus salmonis; salmonid herpesvirus 1	SalHV1	Winthrop	AF023673	NC_043043	Partial genome	dsDNA	vertebrates	1.0
EU349274.1	451.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmonivirus		Salmonid herpesvirus 2	E	Oncorhyncus masou herpesvirus; salmonid herpesvirus 2	SalHV2	NeVTA	EU349274		Partial genome	dsDNA	vertebrates	1.0
EU349277.1	451.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmonivirus		Salmonid herpesvirus 3	E	epizootic epitheliotropic disease virus; salmonid herpesvirus 3	SalHV3	Wisconsin epidemic	EU349277	NC_043468	Partial genome	dsDNA	vertebrates	1.0
JN596962.1	152975.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Iltovirus		Gallid alphaherpesvirus 1	E	gallid alphaherpesvirus 1; infectious laryngotracheitis virus	GaAHV1; ILTV	SA2	JN596962		Complete genome	dsDNA	vertebrates	1.0
AY372243.1	163025.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Iltovirus		Psittacid alphaherpesvirus 1	E	psittacid alphaherpesvirus 1; Pacheco's disease virus	PsAHV1; PDV	97-0001	AY372243	NC_005264	Complete genome	dsDNA	vertebrates	1.0
JF999965.1	160649.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Mardivirus		Anatid alphaherpesvirus 1	E	anatid alphaherpesvirus 1; duck enteritis virus	AnAHV1; DEV	2085	JF999965		Complete genome	dsDNA	vertebrates	1.0
KX589235.1	204237.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Mardivirus		Columbid alphaherpesvirus 1	E	columbid alphaherpesvirus 1; pigeon herpesvirus	CoAHV1; PHV	HLJ	KX589235	NC_034266	Complete genome	dsDNA	vertebrates	1.0
AF243438.1	177874.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Mardivirus		Gallid alphaherpesvirus 2	E	gallid alphaherpesvirus 2; Marek's disease virus	GaAHV2; MDV	Md5	AF243438	NC_002229	Complete genome	dsDNA	vertebrates	1.0
HQ840738.1	165994.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Mardivirus		Gallid alphaherpesvirus 3	E	gallid alphaherpesvirus 3; gallid herpesvirus 3	GaAHV3	SB-1	HQ840738		Complete genome	dsDNA	vertebrates	1.0
AF291866.1	159160.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Mardivirus		Meleagrid alphaherpesvirus 1	E	meleagrid alphaherpesvirus 1; turkey herpesvirus	MeAHV1; HVT	FC-126 (Burmenester)	AF291866	NC_002641	Complete genome	dsDNA	vertebrates	1.0
LT608135.1	164540.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Mardivirus		Spheniscid alphaherpesvirus 1	E	spheniscid alphaherpesvirus 1	SpAHV1	lib01004	LT608135	NC_033464	Complete genome	dsDNA	vertebrates	1.0
HQ878327.2	132233.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Scutavirus		Chelonid alphaherpesvirus 5	E	chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus	ChAHV5; FPTHV	CH-651-60O9	HQ878327		Partial genome	dsDNA	vertebrates	1.0
KM924292.1	160358.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Scutavirus		Testudinid alphaherpesvirus 3	E	testudinid alphaherpesvirus 3; testudinid herpesvirus 3	TeAHV3; TeHV3	1976	KM924292	NC_027916	Complete genome	dsDNA	vertebrates	1.0
KY385637.1	147346.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Ateline alphaherpesvirus 1	E	ateline alphaherpesvirus 1; herpesvirus ateles 1	AtAHV1; HVA1	Lennette	KY385637	NC_034446	Complete genome	dsDNA	vertebrates	1.0
MT862163.1	131245.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Bovine alphaherpesvirus 2	E	bovine alphaherpesvirus 2; bovine mammillitis virus	BoAHV2; BMV	C1Z FZR	MT862163		Complete genome	dsDNA	vertebrates	1.0
AY714813.1	150715.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Cercopithecine alphaherpesvirus 2	E	cercopithecine alphaherpesvirus 2; simian agent 8	CeAHV2; SA8	B264	AY714813	NC_006560	Complete genome	dsDNA	vertebrates	1.0
JN555585.1	152222.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Human alphaherpesvirus 1	E	human alphaherpesvirus 1; herpes simplex virus type 1	HuAHV1; HSV1	17	JN555585	NC_001806	Complete genome	dsDNA	vertebrates	1.0
JN561323.2	154675.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Human alphaherpesvirus 2	E	human alphaherpesvirus 2; herpes simplex virus type 2	HuAHV2; HSV2	HG52	JN561323	NC_001798	Complete genome	dsDNA	vertebrates	1.0
JQ596859.1	124049.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Leporid alphaherpesvirus 4	E	leporid alphaherpesvirus 4; leporid herpesvirus 4	LeAHV4; LHV4	LHV4012612	JQ596859	NC_029311	Complete genome	dsDNA	vertebrates	1.0
AF533768.1	156789.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Macacine alphaherpesvirus 1	E	macacine alphaherpesvirus 1; B-virus	McAHV1; BV	E2490	AF533768	NC_004812	Complete genome	dsDNA	vertebrates	1.0
KY628968.1	157447.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Macacine alphaherpesvirus 2	E	macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1	McAHV2	8100812	KY628968		Complete genome	dsDNA	vertebrates	1.0
KY628970.1	157321.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Macacine alphaherpesvirus 3	E	macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1	McAHV3	KQ	KY628970		Complete genome	dsDNA	vertebrates	1.0
KT594769.1	140122.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Macropodid alphaherpesvirus 1	E	macropodid alphaherpesvirus 1; Parma wallaby herpesvirus	MaAHV1	MaHV1.3076/08	KT594769	NC_029132	Complete genome	dsDNA	vertebrates	1.0
MT900475.1	141859.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Macropodid alphaherpesvirus 2	E	macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus	MaAHV2	V3077/08	MT900475		Complete genome	dsDNA	vertebrates	1.0
JQ360576.1	153158.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Panine alphaherpesvirus 3	E	panine alphaherpesvirus 3; chimpanzee herpesvirus	PnAHV3; ChHV	105640	JQ360576	NC_023677	Complete genome	dsDNA	vertebrates	1.0
DQ149153.1	156487.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Papiine alphaherpesvirus 2	E	papiine alphaherpesvirus 2; herpesvirus papio 2	PaAHV2; HPV2	X313	DQ149153	NC_007653	Complete genome	dsDNA	vertebrates	1.0
AB825953.1	149459.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Pteropodid alphaherpesvirus 1	E	pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1	PtHAV1; FBAHV1		AB825953	NC_024306	Complete genome	dsDNA	vertebrates	1.0
HM625781.1	156742.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Saimiriine alphaherpesvirus 1	E	saimiriine alphaherpesvirus 1; herpesvirus saimiri 1	SaAHV1; HVS1	MV 5-4	HM625781	NC_014567	Complete genome	dsDNA	vertebrates	1.0
JX898220.1	134896.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Bovine alphaherpesvirus 1	E	bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus	BoAHV1; IBRV	Cooper/NVSL challenge 97-11	JX898220	NC_063268	Complete genome	dsDNA	vertebrates	1.0
AY261359.1	138390.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Bovine alphaherpesvirus 5	E	bovine alphaherpesvirus 5; bovine encephalitis herpesvirus	BoAHV5	SV507/99	AY261359	NC_005261	Complete genome	dsDNA	vertebrates	1.0
KU936049.1	137452.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Bubaline alphaherpesvirus 1	E	bubaline alphaherpesvirus 1; water buffalo herpesvirus	BuAHV1	b6	KU936049	NC_043054	Complete genome	dsDNA	vertebrates	1.0
KT819633.1	125171.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Canid alphaherpesvirus 1	E	canid alphaherpesvirus 1; canine herpesvirus	CaAHV1; CHV	194	KT819633	NC_030117	Complete genome	dsDNA	vertebrates	1.0
MG989243.1	134617.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Caprine alphaherpesvirus 1	E	caprine alphaherpesvirus 1; goat herpesvirus	CpAHV1	E/CH	MG989243		Complete genome	dsDNA	vertebrates	1.0
AF275348.3	124784.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Cercopithecine alphaherpesvirus 9	E	cercopithecine alphaherpesvirus 9; simian varicella virus	CeAHV9; SVV	Delta	AF275348	NC_002686	Complete genome	dsDNA	vertebrates	1.0
MH036942.1	138199.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Cervid alphaherpesvirus 1	E	cervid alphaherpesvirus 1; red deer herpesvirus	CvAHV1	Anlier	MH036942		Complete genome	dsDNA	vertebrates	1.0
MH036943.1	142633.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Cervid alphaherpesvirus 2	E	cervid alphaherpesvirus 2; reindeer herpesvirus	CvAHV2	Norway	MH036943		Complete genome	dsDNA	vertebrates	1.0
MH036941.1	136380.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Cervid alphaherpesvirus 3	E	cervid alphaherpesvirus 3; elk herpesvirus	CvAHV3	Canada	MH036941	NC_055561	Partial genome	dsDNA	vertebrates	1.0
AY665713.1	150224.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Equid alphaherpesvirus 1	E	equid alphaherpesvirus 1; equine abortion virus	EqAHV1; EAV	Ab4	AY665713	NC_001491	Complete genome	dsDNA	vertebrates	1.0
KM051845.1	151601.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Equid alphaherpesvirus 3	E	equid alphaherpesvirus 3; equine coital exanthema virus	EqAHV3	AR/2007/C3A	KM051845	NC_024771	Complete genome	dsDNA	vertebrates	1.0
AF030027.1	145597.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Equid alphaherpesvirus 4	E	equid alphaherpesvirus 4; equine rhinopneumonitis virus	EqAHV4	NS80567	AF030027	NC_001844	Complete genome	dsDNA	vertebrates	1.0
MF431611.1	149600.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Equid alphaherpesvirus 8	E	equid alphaherpesvirus 8; asinine herpesvirus 3	EqAHV8	EHV-8/IR/2003/19	MF431611		Complete genome	dsDNA	vertebrates	1.0
AP010838.1	148371.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Equid alphaherpesvirus 9	E	equid alphaherpesvirus 9; gazelle herpesvirus	EqAHV9	P19	AP010838	NC_011644	Complete genome	dsDNA	vertebrates	1.0
FJ478159.2	135797.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Felid alphaherpesvirus 1	E	felid alphaherpesvirus 1; feline viral rhinotracheitis virus	FeAHV1; FVRV	C-27	FJ478159	NC_013590	Complete genome	dsDNA	vertebrates	1.0
MF678601.1	144144.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Monodontid alphaherpesvirus 1	E	monodontid alphaherpesvirus 1; beluga whale alphaherpesvirus 1	MoAHV1	LN3131-1	MF678601	NC_055166	Complete genome	dsDNA	vertebrates	1.0
MH509440.2	114546.0	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Phocid alphaherpesvirus 1	E	phocid alphaherpesvirus 1; harbour seal herpesvirus	PcAHV1		MH509440		Partial genome	dsDNA	vertebrates	1.0
