qseqid_ID,sseqid_ID,conserved_AA_#,qseqid_genome_length,sseqid_genome_length,length,Class,Exemplar or additional isolate,Family,Genome composition,Genome coverage,Genus,Host source,Kingdom,Order,Phylum,Realm,Species,Subclass,Subfamily,Subgenus,Subkingdom,Suborder,Subphylum,Subrealm,Virus GENBANK accession,Virus REFSEQ accession,Virus isolate designation,Virus name abbreviation(s),Virus name(s),bitscore,definition,evalue,gapopen,genome_ncbi_acc,mismatch,pident,protein_length,qend,qseqid,qstart,send,sseqid,sstart,virus
BC2_S2_NODE_1_length_59166_cov_57,QKY78474.1,70.027,54198.0,58928.0,239.0,Caudoviricetes,E,,dsDNA,Complete genome,Zitchvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Zitchvirus zitch,,,,,,,,MT498036,NC_053247,,,Gordonia phage Zitch,74.7,head-to-tail adaptor,7e-15,10,MT498036.1,139,29.3,263.0,239,BC2_S2_NODE_1_length_59166_cov_57.999746_48,23,251,QKY78474.1,21,Gordonia Phage Zitch
BC2_S2_NODE_1_length_59166_cov_57,QKO02975.1,73.962,54198.0,44904.0,126.0,Caudoviricetes,E,,dsDNA,Complete genome,Vendettavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Vendettavirus tzgordon,,Ruthgordonvirinae,,,,,,MT553344,NC_054438,,,Gordonia phage TZGordon,147.0,ssDNA-binding protein,7.81e-45,0,MT553344.1,52,58.7,163.0,126,BC2_S2_NODE_1_length_59166_cov_57.999746_34,1,126,QKO02975.1,1,Gordonia phage TZGordon
BC2_S2_NODE_1_length_59166_cov_57,QKO02974.1,195.195,54198.0,44904.0,429.0,Caudoviricetes,E,,dsDNA,Complete genome,Vendettavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Vendettavirus tzgordon,,Ruthgordonvirinae,,,,,,MT553344,NC_054438,,,Gordonia phage TZGordon,328.0,DnaB-like dsDNA helicase,5.3e-108,9,MT553344.1,216,45.5,445.0,421,BC2_S2_NODE_1_length_59166_cov_57.999746_22,6,442,QKO02974.1,19,Gordonia phage TZGordon
BC2_S2_NODE_1_length_59166_cov_57,QJI53371.1,51.012,54198.0,56163.0,117.0,Caudoviricetes,E,,dsDNA,Complete genome,Amoyvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Amoyvirus R7M,,Queuovirinae,,,,,,MT345684,NC_048878,,R7M,vB_AcoS-R7M,80.9,QueE,1.8e-17,6,MT345684.1,51,43.6,236.0,114,BC2_S2_NODE_1_length_59166_cov_57.999746_13,4,125,QJI53371.1,18,Alteromonas phage vB_AcoS-R7M
BC2_S2_NODE_1_length_59166_cov_57,QJI53368.1,71.994,54198.0,56163.0,142.0,Caudoviricetes,E,,dsDNA,Complete genome,Amoyvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Amoyvirus R7M,,Queuovirinae,,,,,,MT345684,NC_048878,,R7M,vB_AcoS-R7M,108.0,GTP cyclohydrolase I,6.17e-29,5,MT345684.1,57,50.7,197.0,164,BC2_S2_NODE_1_length_59166_cov_57.999746_12,30,175,QJI53368.1,40,Alteromonas phage vB_AcoS-R7M
BC2_S2_NODE_1_length_59166_cov_57,QJD52925.1,104.89499999999998,54198.0,54442.0,315.0,Caudoviricetes,E,,dsDNA,Complete genome,Akonivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Akonivirus phedro,,Eekayvirinae,,,,,,MT310890,NC_048877,,,Microbacterium phage Phedro,167.0,hypothetical protein SEA_PHEDRO_18,3.99e-48,8,MT310890.1,199,33.3,334.0,320,BC2_S2_NODE_1_length_59166_cov_57.999746_81,9,318,QJD52925.1,12,Microbacterium phage Phedro
BC2_S2_NODE_1_length_59166_cov_57,QIG58328.1,45.012,54198.0,152435.0,93.0,Caudoviricetes,E,,dsDNA,Complete genome,Skogvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Skogvirus Skog,,,,,,,,MN908687,NC_054725,,,Gordonia phage Skog,71.6,tail sheath protein,1.67e-12,2,MN908687.1,45,48.4,583.0,308,BC2_S2_NODE_1_length_59166_cov_57.999746_50,218,149,QIG58328.1,58,Gordonia phage Skog
BC2_S2_NODE_1_length_59166_cov_57,QIG58266.1,52.992,54198.0,152435.0,96.0,Caudoviricetes,E,,dsDNA,Complete genome,Skogvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Skogvirus Skog,,,,,,,,MN908687,NC_054725,,,Gordonia phage Skog,97.8,WhiB family transcription factor,4.4600000000000006e-27,2,MN908687.1,36,55.2,106.0,94,BC2_S2_NODE_1_length_59166_cov_57.999746_83,4,104,QIG58266.1,11,Gordonia phage Skog
BC2_S2_NODE_1_length_59166_cov_57,QHB37743.1,180.72799999999998,54198.0,69897.0,551.0,Caudoviricetes,E,,dsDNA,Complete genome,Imvubuvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Imvubuvirus imvubu,,Bclasvirinae,,,,,,MN813693,NC_051586,,,Mycobacterium phage Imvubu,220.0,terminase large subunit,6.92e-63,18,MN813693.1,305,32.8,611.0,552,BC2_S2_NODE_1_length_59166_cov_57.999746_10,18,575,QHB37743.1,74,Mycobacterium phage Imvubu
BC2_S2_NODE_1_length_59166_cov_57,QHB37315.1,108.045,54198.0,70668.0,343.0,Caudoviricetes,E,,dsDNA,Complete genome,Birdsnestvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Birdsnestvirus birdsnest,,Bclasvirinae,,,,,,MN813686,NC_051581,,,Mycobacterium phage BirdsNest,108.0,capsid maturation protease and MuF-like fusion protein,2.69e-23,7,MN813686.1,205,31.5,844.0,648,BC2_S2_NODE_1_length_59166_cov_57.999746_61,307,821,QHB37315.1,508,Mycobacterium phage BirdsNest
BC2_S2_NODE_1_length_59166_cov_57,QGZ17196.1,70.0,54198.0,69061.0,125.0,Caudoviricetes,E,,dsDNA,Complete genome,Klausavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Klausavirus dryang,,,,,,,,MN703411,NC_049489,,,Arthrobacter phage DrYang,142.0,ssDNA binding protein,1.7499999999999998e-42,0,MN703411.1,55,56.0,181.0,125,BC2_S2_NODE_1_length_59166_cov_57.999746_34,1,125,QGZ17196.1,1,Arthrobacter phage DrYang
BC2_S2_NODE_1_length_59166_cov_57,QGJ95809.1,51.0,54198.0,58844.0,150.0,Caudoviricetes,E,,dsDNA,Complete genome,Leonardvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Leonardvirus emoore,,,,,,,,MN586047,NC_053243,,,Gordonia phage EMoore,70.5,head-to-tail adaptor,2.34e-13,7,MN586047.1,84,34.0,264.0,250,BC2_S2_NODE_1_length_59166_cov_57.999746_48,112,259,QGJ95809.1,114,Gordonia phage EMoore
BC2_S2_NODE_1_length_59166_cov_57,QGJ94880.1,60.024,54198.0,136319.0,164.0,Caudoviricetes,E,,dsDNA,Complete genome,Stormageddonvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Stormageddonvirus Stormageddon,,,,,,,,MN586040,NC_054726,,,Gordonia phage Stormageddon,98.2,RNA ligase,1.0300000000000001e-22,4,MN586040.1,92,36.6,172.0,168,BC2_S2_NODE_1_length_59166_cov_57.999746_61,7,166,QGJ94880.1,13,Gordonia phage Stormageddon
BC2_S2_NODE_1_length_59166_cov_57,QGJ93586.1,85.0,54198.0,59761.0,250.0,Caudoviricetes,E,,dsDNA,Complete genome,Leonardvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Leonardvirus melbins,,,,,,,,MN586028,NC_053244,,,Gordonia phage MelBins,113.0,tape measure protein,2.8299999999999997e-24,5,MN586028.1,158,34.0,1630.0,489,BC2_S2_NODE_1_length_59166_cov_57.999746_41,245,545,QGJ93586.1,298,Gordonia phage MelBins
BC2_S2_NODE_1_length_59166_cov_57,QGJ93580.1,72.89500000000001,54198.0,59761.0,239.0,Caudoviricetes,E,,dsDNA,Complete genome,Leonardvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Leonardvirus melbins,,,,,,,,MN586028,NC_053244,,,Gordonia phage MelBins,73.2,head-to-tail adaptor,2.54e-14,13,MN586028.1,133,30.5,264.0,250,BC2_S2_NODE_1_length_59166_cov_57.999746_48,34,259,QGJ93580.1,32,Gordonia phage MelBins
BC2_S2_NODE_1_length_59166_cov_57,QGJ93573.1,70.99199999999999,54198.0,59761.0,204.0,Caudoviricetes,E,,dsDNA,Complete genome,Leonardvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Leonardvirus melbins,,,,,,,,MN586028,NC_053244,,,Gordonia phage MelBins,97.4,RNA ligase,7.15e-20,8,MN586028.1,113,34.8,918.0,202,BC2_S2_NODE_1_length_59166_cov_57.999746_61,7,607,QGJ93573.1,416,Gordonia phage MelBins
BC2_S2_NODE_1_length_59166_cov_57,QGJ93543.1,94.932,54198.0,60205.0,162.0,Caudoviricetes,E,,dsDNA,Complete genome,Mufasoctovirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Mufasoctovirus mufasa8,,,,,,,,MN586027,NC_049478,,,Arthrobacter phage Mufasa8,190.0,GTP cyclohydrolase I,8.79e-61,1,MN586027.1,66,58.6,204.0,171,BC2_S2_NODE_1_length_59166_cov_57.999746_12,11,186,QGJ93543.1,25,Arthrobacter phage Mufasa8
BC2_S2_NODE_1_length_59166_cov_57,QGJ93542.1,114.97500000000001,54198.0,60205.0,225.0,Caudoviricetes,E,,dsDNA,Complete genome,Mufasoctovirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Mufasoctovirus mufasa8,,,,,,,,MN586027,NC_049478,,,Arthrobacter phage Mufasa8,242.0,lipoyl synthase,6.39e-80,1,MN586027.1,109,51.1,247.0,231,BC2_S2_NODE_1_length_59166_cov_57.999746_13,8,246,QGJ93542.1,22,Arthrobacter phage Mufasa8
BC2_S2_NODE_1_length_59166_cov_57,QGJ93541.1,66.978,54198.0,60205.0,122.0,Caudoviricetes,E,,dsDNA,Complete genome,Mufasoctovirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Mufasoctovirus mufasa8,,,,,,,,MN586027,NC_049478,,,Arthrobacter phage Mufasa8,139.0,QueD-like queosine biosynthesis protein,9.62e-43,0,MN586027.1,55,54.9,132.0,127,BC2_S2_NODE_1_length_59166_cov_57.999746_14,6,125,QGJ93541.1,4,Arthrobacter phage Mufasa8
BC2_S2_NODE_1_length_59166_cov_57,QGJ93497.1,73.0,54198.0,60205.0,125.0,Caudoviricetes,E,,dsDNA,Complete genome,Mufasoctovirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Mufasoctovirus mufasa8,,,,,,,,MN586027,NC_049478,,,Arthrobacter phage Mufasa8,148.0,ssDNA binding protein,7.1e-45,0,MN586027.1,52,58.4,183.0,125,BC2_S2_NODE_1_length_59166_cov_57.999746_34,1,125,QGJ93497.1,1,Arthrobacter phage Mufasa8
BC2_S2_NODE_1_length_59166_cov_57,QGJ93393.1,85.932,54198.0,59268.0,252.0,Caudoviricetes,E,,dsDNA,Complete genome,Leonardvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Leonardvirus leonard,,,,,,,,MN586026,NC_053242,,,Gordonia phage Leonard,115.0,tape measure protein,7.26e-25,5,MN586026.1,159,34.1,1629.0,489,BC2_S2_NODE_1_length_59166_cov_57.999746_41,243,545,QGJ93393.1,296,Gordonia phage Leonard
BC2_S2_NODE_1_length_59166_cov_57,QGJ93387.1,49.949999999999996,54198.0,59268.0,150.0,Caudoviricetes,E,,dsDNA,Complete genome,Leonardvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Leonardvirus leonard,,,,,,,,MN586026,NC_053242,,,Gordonia phage Leonard,71.2,head-to-tail adaptor,1.23e-13,6,MN586026.1,85,33.3,263.0,250,BC2_S2_NODE_1_length_59166_cov_57.999746_48,112,259,QGJ93387.1,114,Gordonia phage Leonard
BC2_S2_NODE_1_length_59166_cov_57,QGJ93380.1,70.04,54198.0,59268.0,206.0,Caudoviricetes,E,,dsDNA,Complete genome,Leonardvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Leonardvirus leonard,,,,,,,,MN586026,NC_053242,,,Gordonia phage Leonard,97.4,RNA ligase,7.16e-20,9,MN586026.1,112,34.0,920.0,202,BC2_S2_NODE_1_length_59166_cov_57.999746_61,7,607,QGJ93380.1,416,Gordonia phage Leonard
BC2_S2_NODE_1_length_59166_cov_57,QGH75260.1,90.978,54198.0,70992.0,257.0,Caudoviricetes,E,,dsDNA,Complete genome,Quesadillavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Quesadillavirus quesadilla,,Bclasvirinae,,,,,,MN617843,NC_051584,,,Mycobacterium phage Quesadilla,116.0,capsid maturation protease and MuF-like fusion protein,5.38e-26,6,MN617843.1,140,35.4,819.0,585,BC2_S2_NODE_1_length_59166_cov_57.999746_61,330,743,QGH75260.1,512,Mycobacterium phage Quesadilla
BC2_S2_NODE_1_length_59166_cov_57,QGH75259.1,118.78399999999999,54198.0,70992.0,464.0,Caudoviricetes,E,,dsDNA,Complete genome,Quesadillavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Quesadillavirus quesadilla,,Bclasvirinae,,,,,,MN617843,NC_051584,,,Mycobacterium phage Quesadilla,142.0,portal protein,3.11e-34,11,MN617843.1,300,25.6,626.0,440,BC2_S2_NODE_1_length_59166_cov_57.999746_63,6,457,QGH75259.1,10,Mycobacterium phage Quesadilla
BC2_S2_NODE_1_length_59166_cov_57,QGH75254.1,97.92,54198.0,70992.0,170.0,Caudoviricetes,E,,dsDNA,Complete genome,Quesadillavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Quesadillavirus quesadilla,,Bclasvirinae,,,,,,MN617843,NC_051584,,,Mycobacterium phage Quesadilla,192.0,GTP cyclohydrolase I,1.3099999999999999e-61,1,MN617843.1,71,57.6,188.0,169,BC2_S2_NODE_1_length_59166_cov_57.999746_12,1,170,QGH75254.1,1,Mycobacterium phage Quesadilla
BC2_S2_NODE_1_length_59166_cov_57,QGH75253.1,114.99999999999999,54198.0,70992.0,230.0,Caudoviricetes,E,,dsDNA,Complete genome,Quesadillavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Quesadillavirus quesadilla,,Bclasvirinae,,,,,,MN617843,NC_051584,,,Mycobacterium phage Quesadilla,225.0,QueE-like queosine biosynthesis protein,2.16e-73,3,MN617843.1,112,50.0,248.0,231,BC2_S2_NODE_1_length_59166_cov_57.999746_13,4,247,QGH75253.1,19,Mycobacterium phage Quesadilla
BC2_S2_NODE_1_length_59166_cov_57,QGH74542.1,70.02799999999999,54198.0,38850.0,122.0,Caudoviricetes,E,,dsDNA,Complete genome,Kuleanavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Kuleanavirus kuleana,,,,,,,,MN484600,NC_049473,,,Arthrobacter phage Kuleana,144.0,ssDNA-binding protein,1.5700000000000002e-43,0,MN484600.1,52,57.4,170.0,122,BC2_S2_NODE_1_length_59166_cov_57.999746_34,1,122,QGH74542.1,1,Arthrobacter phage Kuleana
BC2_S2_NODE_1_length_59166_cov_57,QFP94629.1,33.004999999999995,54198.0,71552.0,115.0,Caudoviricetes,E,,dsDNA,Complete genome,Lilmcdreamyvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Lilmcdreamyvirus lilmcdreamy,,Bclasvirinae,,,,,,MN284893,NC_051582,,,Mycobacterium phage LilMcDreamy,47.4,hypothetical protein SEA_LILMCDREAMY_9,5.21e-07,3,MN284893.1,55,28.7,133.0,96,BC2_S2_NODE_1_length_59166_cov_57.999746_64,9,120,QFP94629.1,6,Mycobacterium phage LilMcDreamy
BC2_S2_NODE_1_length_59166_cov_57,QFG14900.1,70.938,54198.0,68762.0,126.0,Caudoviricetes,E,,dsDNA,Complete genome,Klausavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Klausavirus lymara,,,,,,,,MN234234,NC_049471,,,Arthrobacter phage Lymara,144.0,ssDNA binding protein,2.5900000000000003e-43,0,MN234234.1,55,56.3,187.0,126,BC2_S2_NODE_1_length_59166_cov_57.999746_34,1,126,QFG14900.1,1,Arthrobacter phage Lymara
BC2_S2_NODE_1_length_59166_cov_57,QFG14255.1,66.086,54198.0,77876.0,191.0,Caudoviricetes,E,Vilmaviridae,dsDNA,Complete genome,Faithunavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Faithunavirus tourach,,Lclasvirinae,,,,,,MN234228,NC_053509,,,Mycobacterium phage Tourach,100.0,tape measure protein,2.26e-20,1,MN234228.1,124,34.6,1703.0,475,BC2_S2_NODE_1_length_59166_cov_57.999746_41,286,522,QFG14255.1,332,Mycobacterium phage Tourach
BC2_S2_NODE_1_length_59166_cov_57,QFG14051.1,31.04,54198.0,61222.0,80.0,Caudoviricetes,E,,dsDNA,Complete genome,Anayavirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Anayavirus curiosium,,Weiservirinae,,,,,,MN234226,NC_051618,,,Mycobacterium phage Curiosium,44.7,hypothetical protein PBI_CURIOSIUM_5,2.59e-06,2,MN234226.1,22,38.8,75.0,80,BC2_S2_NODE_1_length_59166_cov_57.999746_62,1,53,QFG14051.1,1,Mycobacterium phage Curiosium
BC2_S2_NODE_1_length_59166_cov_57,QFG10339.1,28.008,54198.0,77566.0,72.0,Caudoviricetes,E,Vilmaviridae,dsDNA,Complete genome,Bromdenvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Bromdenvirus dyoedafos,,Lclasvirinae,,,,,,MN234187,NC_053511,,,Mycobacterium phage DyoEdafos,43.1,hypothetical protein SEA_DYOEDAFOS_114,7.95e-06,2,MN234187.1,16,38.9,64.0,80,BC2_S2_NODE_1_length_59166_cov_57.999746_62,9,44,QFG10339.1,1,Mycobacterium phage DyoEdafos
BC2_S2_NODE_1_length_59166_cov_57,QFG10249.1,71.928,54198.0,77566.0,216.0,Caudoviricetes,E,Vilmaviridae,dsDNA,Complete genome,Bromdenvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Bromdenvirus dyoedafos,,Lclasvirinae,,,,,,MN234187,NC_053511,,,Mycobacterium phage DyoEdafos,112.0,tape measure protein,6.5e-24,1,MN234187.1,143,33.3,1697.0,475,BC2_S2_NODE_1_length_59166_cov_57.999746_41,261,527,QFG10249.1,312,Mycobacterium phage DyoEdafos
BC2_S2_NODE_1_length_59166_cov_57,QFG09600.1,71.946,54198.0,45507.0,126.0,Caudoviricetes,E,,dsDNA,Complete genome,Triplejayvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Triplejayvirus tripleJ,,,,,,,,MN234178,NC_049470,,,Arthrobacter phage TripleJ,143.0,ssDNA binding protein,3.5600000000000002e-43,0,MN234178.1,54,57.1,151.0,126,BC2_S2_NODE_1_length_59166_cov_57.999746_34,1,126,QFG09600.1,1,Arthrobacter phage TripleJ
BC2_S2_NODE_1_length_59166_cov_57,QFG09545.1,124.146,54198.0,45507.0,297.0,Caudoviricetes,E,,dsDNA,Complete genome,Triplejayvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Triplejayvirus tripleJ,,,,,,,,MN234178,NC_049470,,,Arthrobacter phage TripleJ,219.0,terminase,1.84e-63,5,MN234178.1,144,41.8,501.0,328,BC2_S2_NODE_1_length_59166_cov_57.999746_10,40,294,QFG09545.1,19,Arthrobacter phage TripleJ
BC2_S2_NODE_1_length_59166_cov_57,QDK01919.1,72.064,54198.0,48201.0,128.0,Caudoviricetes,E,,dsDNA,Complete genome,Vibakivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Vibakivirus vibaki,,,,,,,,MN096362,NC_049465,,,Arthrobacter phage Vibaki,145.0,ssDNA binding protein,1.63e-43,0,MN096362.1,56,56.3,183.0,128,BC2_S2_NODE_1_length_59166_cov_57.999746_34,1,128,QDK01919.1,1,Arthrobacter phage Vibaki
BC2_S2_NODE_1_length_59166_cov_57,QDK01554.1,46.986000000000004,54198.0,69021.0,123.0,Caudoviricetes,E,,dsDNA,Complete genome,Pipefishvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Pipefishvirus obutu,,Bclasvirinae,,,,,,MN096359,NC_055812,,,Mycobacterium phage Obutu,52.8,tail assembly chaperone,1.14e-08,6,MN096359.1,61,38.2,137.0,130,BC2_S2_NODE_1_length_59166_cov_57.999746_45,19,125,QDK01554.1,7,Mycobacterium phage Obutu
BC2_S2_NODE_1_length_59166_cov_57,QDK01551.1,74.91,54198.0,69021.0,227.0,Caudoviricetes,E,,dsDNA,Complete genome,Pipefishvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Pipefishvirus obutu,,Bclasvirinae,,,,,,MN096359,NC_055812,,,Mycobacterium phage Obutu,77.8,head-to-tail adaptor,4.21e-16,10,MN096359.1,120,33.0,246.0,232,BC2_S2_NODE_1_length_59166_cov_57.999746_48,22,238,QDK01551.1,28,Mycobacterium phage Obutu
BC2_S2_NODE_1_length_59166_cov_57,QDK01540.1,86.94400000000002,54198.0,69021.0,247.0,Caudoviricetes,E,,dsDNA,Complete genome,Pipefishvirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Pipefishvirus obutu,,Bclasvirinae,,,,,,MN096359,NC_055812,,,Mycobacterium phage Obutu,100.0,capsid maturation protease and MuF-like fusion protein,9.220000000000001e-21,7,MN096359.1,127,35.2,815.0,585,BC2_S2_NODE_1_length_59166_cov_57.999746_61,344,731,QDK01540.1,513,Mycobacterium phage Obutu
