qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,sseqid_ID,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,conserved_AA_#
AT10B_S2_NODE_1_length_122269_cov_11.242561_19,QBP30889.1,71.4,203,58,0,1,203,1,203,5.62e-107,308.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30889.1,thymidylate kinase,Streptomyces phage EGole,205.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,144.942
AT10B_S2_NODE_1_length_122269_cov_11.242561_20,AIW02596.1,86.3,102,14,0,3,104,5,106,3.04e-63,189.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02596.1,hypothetical protein PBI_JAY2JAY_98,Streptomyces phage Jay2Jay,106.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,88.026
AT10B_S2_NODE_1_length_122269_cov_11.242561_21,ASR77359.1,86.3,161,22,0,14,174,1,161,3.35e-97,280.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77359.1,hypothetical protein SEA_NOOTNOOT_91,Streptomyces phage NootNoot,161.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,138.943
AT10B_S2_NODE_1_length_122269_cov_11.242561_21,AXQ63357.1,54.1,172,78,1,1,171,1,172,1.2e-59,186.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXQ63357.1,hypothetical protein SEA_COMRADE_87,Streptomyces phage Comrade,180.0,MH651172.1,129015.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus comrade,E,Streptomyces phage Comrade,,,MH651172,NC_048728,Complete genome,dsDNA,bacteria,93.052
AT10B_S2_NODE_1_length_122269_cov_11.242561_22,AXH69969.1,86.8,606,80,0,1,606,1,606,0.0,1091.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69969.1,terminase,Streptomyces phage Karimac,606.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria,526.0079999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_23,AXH67281.1,73.7,167,44,0,12,178,7,173,9.6e-103,295.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH67281.1,HNH endonuclease,Streptomyces phage Wollford,173.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria,123.079
AT10B_S2_NODE_1_length_122269_cov_11.242561_23,AXH69625.1,71.3,178,46,1,1,178,1,173,3.29e-99,286.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69625.1,HNH endonuclease,Streptomyces phage LukeCage,175.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria,126.914
AT10B_S2_NODE_1_length_122269_cov_11.242561_25,QGH76407.1,72.5,200,55,0,1,200,1,200,4.56e-99,287.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76407.1,hypothetical protein SEA_DAUBENSKI_100,Streptomyces phage Daubenski,200.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,145.0
AT10B_S2_NODE_1_length_122269_cov_11.242561_26,ASR75508.1,71.9,171,47,1,21,190,3,173,2.05e-84,249.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75508.1,nucleotidyltransferase,Streptomyces phage Mildred21,173.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,122.94900000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_27,QJD50849.1,84.6,605,90,1,1,602,1,605,0.0,1026.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50849.1,FtsK-like DNA translocase,Streptomyces phage Bmoc,605.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,511.8299999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_27,AST15332.1,84.1,604,94,1,1,602,1,604,0.0,1020.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AST15332.1,FtsK-like DNA translocase,Streptomyces phage Samisti12,604.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria,507.96399999999994
AT10B_S2_NODE_1_length_122269_cov_11.242561_29,ASR75511.1,66.0,53,18,0,1,53,1,53,3.52e-19,74.3,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75511.1,hypothetical protein SEA_MILDRED21_110,Streptomyces phage Mildred21,53.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,34.980000000000004
AT10B_S2_NODE_1_length_122269_cov_11.242561_33,AXH67288.1,64.8,71,25,0,29,99,1,71,3.78e-27,97.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH67288.1,hypothetical protein SEA_WOFFORD_114,Streptomyces phage Wollford,75.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria,46.007999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_38,AID58907.1,42.2,90,45,1,57,146,46,128,8.08e-18,77.4,AT10B_S2_NODE_1_length_122269_cov_11,103329,AID58907.1,recombination endonuclease VII,Mycobacterium phage Gaia,147.0,KJ567043.1,90460.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gaiavirus,,Gaiavirus gaia,E,Mycobacterium phage Gaia,,,KJ567043,NC_026590,Complete genome,dsDNA,bacteria,37.980000000000004
AT10B_S2_NODE_1_length_122269_cov_11.242561_38,AXH67908.1,48.9,45,23,0,99,143,81,125,2.42e-08,52.4,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH67908.1,endonuclease VII,Mycobacterium phage Bromden,138.0,MH576973.1,70183.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Vilmaviridae,Lclasvirinae,Bromdenvirus,,Bromdenvirus bromden,E,Mycobacterium phage Bromden,,,MH576973,NC_053510,Complete genome,dsDNA,bacteria,22.005
AT10B_S2_NODE_1_length_122269_cov_11.242561_42,AXH67295.1,61.5,91,35,0,3,93,21,111,9.18e-38,124.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH67295.1,hypothetical protein SEA_WOFFORD_124,Streptomyces phage Wollford,111.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria,55.965
AT10B_S2_NODE_1_length_122269_cov_11.242561_43,QBP30907.1,51.1,135,66,0,8,142,1,135,5.539999999999999e-41,135.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30907.1,hypothetical protein SEA_EGOLE_127,Streptomyces phage EGole,138.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,68.985
AT10B_S2_NODE_1_length_122269_cov_11.242561_43,ASR84803.1,52.6,57,25,1,10,66,4,58,3.26e-10,55.8,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR84803.1,hypothetical protein SEA_HURRICANE_58,Mycobacterium phage Hurricane,89.0,MF373841.1,61318.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Weiservirinae,Keshuvirus,,Keshuvirus hurricane,E,Mycobacterium phage Hurricane,,,MF373841,NC_051604,Complete genome,dsDNA,bacteria,29.982
AT10B_S2_NODE_1_length_122269_cov_11.242561_46,ASR77824.1,73.8,61,16,0,1,61,1,61,9.460000000000001e-27,94.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77824.1,hypothetical protein SEA_PEEBS_129,Streptomyces phage Peebs,61.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,45.018
AT10B_S2_NODE_1_length_122269_cov_11.242561_46,AIW02623.1,74.6,59,15,0,1,59,1,59,2.13e-25,90.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02623.1,hypothetical protein PBI_JAY2JAY_135,Streptomyces phage Jay2Jay,59.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,44.013999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_48,QBP30916.1,50.0,64,31,1,14,77,1,63,4.42e-16,67.8,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30916.1,hypothetical protein SEA_EGOLE_144,Streptomyces phage EGole,63.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,32.0
AT10B_S2_NODE_1_length_122269_cov_11.242561_49,AXH49244.1,47.7,44,23,0,1,44,1,44,3.56e-06,41.6,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH49244.1,hypothetical protein SEA_BLUEEYEDBEAUTY_111,Streptomyces phage Blueeyedbeauty,52.0,MH536814.1,130473.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus blueeyedbeauty,E,Streptomyces phage Blueeyedbeauty,,,MH536814,NC_048720,Complete genome,dsDNA,bacteria,20.988000000000003
AT10B_S2_NODE_1_length_122269_cov_11.242561_50,AIW02629.1,70.4,54,16,0,8,61,4,57,5.7299999999999995e-28,97.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02629.1,hypothetical protein PBI_JAY2JAY_148,Streptomyces phage Jay2Jay,58.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,38.016000000000005
AT10B_S2_NODE_1_length_122269_cov_11.242561_112,AOO15817.1,40.7,59,35,0,76,134,10,68,1.94e-09,53.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,AOO15817.1,hypothetical protein RW010310_116,Cyanophage S-RIM12 isolate RW_01_0310,81.0,KX349310.1,174670.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Kyanoviridae,,Brizovirus,,Brizovirus rhodeisland01,E,Cyanophage S-RIM12 isolate RW_01_0310,,,KX349310,NC_047715,Complete genome,dsDNA,bacteria,24.013
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,ALA48338.1,34.1,132,60,6,5,133,10,117,5.26e-09,53.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,ALA48338.1,HNH endonuclease,Mycobacterium phage HyRo,124.0,KT281790.1,153714.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ceeclamvirinae,Bixzunavirus,,Bixzunavirus hyro,E,Mycobacterium phage HyRo,,,KT281790,NC_028869,Complete genome,dsDNA,bacteria,45.012
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,ARB12561.1,39.0,59,33,2,40,98,3,58,4.88e-06,44.3,AT10B_S2_NODE_1_length_122269_cov_11,103329,ARB12561.1,hypothetical protein BIS47_57,Klebsiella phage vB_KpnM_BIS47,65.0,KY652726.1,147443.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Vequintavirinae,Mydovirus,,Mydovirus BIS47,E,Klebsiella phage vB_KpnM_BIS47,,,KY652726,NC_048656,Complete genome,dsDNA,bacteria,23.009999999999998
AT10B_S2_NODE_1_length_122269_cov_11.242561_55,ASR75541.1,76.5,51,12,0,1,51,1,51,2.0600000000000002e-21,80.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75541.1,hypothetical protein SEA_MILDRED21_160,Streptomyces phage Mildred21,55.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,39.015
AT10B_S2_NODE_1_length_122269_cov_11.242561_64,ASR77399.1,62.2,45,15,1,1,45,1,43,1.01e-12,57.4,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77399.1,hypothetical protein SEA_NOOTNOOT_161,Streptomyces phage NootNoot,43.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,27.990000000000002
AT10B_S2_NODE_1_length_122269_cov_11.242561_65,QGH76442.1,71.2,59,17,0,1,59,1,59,4.12e-25,89.7,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76442.1,hypothetical protein SEA_DAUBENSKI_163,Streptomyces phage Daubenski,59.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,42.008
AT10B_S2_NODE_1_length_122269_cov_11.242561_66,QDK02995.1,70.9,79,22,1,44,121,1,79,4.1300000000000004e-35,118.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK02995.1,hypothetical protein SEA_BRAELYN_169,Streptomyces phage Braelyn,79.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,56.01100000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_69,QIG58285.1,43.6,179,95,4,1,179,1,173,2.82e-38,132.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QIG58285.1,DnaQ-like DNA polymerase III subunit,Gordonia phage Skog,188.0,MN908687.1,152435.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Skogvirus,,Skogvirus Skog,E,Gordonia phage Skog,,,MN908687,NC_054725,Complete genome,dsDNA,bacteria,78.04400000000001
