qseqid_ID,genome_ncbi_acc,conserved_AA_#,qseqid_genome_length,sseqid_genome_length,virus,length,distance
AH1_S13_NODE_2_length_9181_cov_3.350945,JX556417.1,128.913,8139,41351.0,Vibrio phage vB_VpaM_MAR,443,0.984371
AH1_S13_NODE_2_length_9181_cov_3.350945,FN297812.1,128.913,8139,42612.0,Vibrio phage VP585,443,0.984759
AH1_S13_NODE_2_length_9181_cov_3.350945,AY133112.1,125.812,8139,43198.0,Vibrio phage VHML,443,0.985296
AH1_S13_NODE_2_length_9181_cov_3.350945,AY357582.2,157.132,8139,57455.0,Burkholderia phage BcepNazgul,652,0.985627
AH1_S13_NODE_2_length_9181_cov_3.350945,HQ632859.1,151.767,8139,56958.0,Loktanella phage pCB2051-A,657,0.986012
AH1_S13_NODE_2_length_9181_cov_3.350945,KP063118.1,119.889,8139,58546.0,Proteus phage pPM_01,519,0.989213
AH1_S13_NODE_2_length_9181_cov_3.350945,MW145139.1,121.8,8139,59837.0,Providencia phage Kokobel1,525,0.989249
AH1_S13_NODE_2_length_9181_cov_3.350945,MG030346.1,119.889,8139,59128.0,Proteus phage PM87,519,0.989306
AH1_S13_NODE_2_length_9181_cov_3.350945,MN062188.1,120.083,8139,60056.0,Proteus phage Saba,529,0.989435
AH1_S13_NODE_2_length_9181_cov_3.350945,MT675125.1,119.85,8139,60924.0,Providencia phage vB_PreS-Stilesk,510,0.989588
AH1_S13_NODE_2_length_9181_cov_3.350945,MT675124.1,118.872,8139,60727.0,Providencia phage vB_PreS-PibeRecoleta,508,0.989643
AH1_S13_NODE_2_length_9181_cov_3.350945,MT161385.1,113.12,8139,60418.0,Xanthomonas phage FoX4,505,0.9901
AH1_S13_NODE_2_length_9181_cov_3.350945,AE006468.2,201.289,8139,4857450.0,Phage Gifsy-1,631,0.999752
AH1_S13_NODE_4_length_5975_cov_3.374364,MT701586.1,56.05,5703,43707.0,Burkholderia phage Mica,190,0.993194
AH1_S13_NODE_4_length_5975_cov_3.374364,MH252365.1,54.978,5703,44526.0,Ralstonia phage phiRSP,187,0.993433
AH1_S13_NODE_5_length_5519_cov_5.290886,MH155868.1,742.563,5400,46133.0,Streptomyces phage FlowerPower,1236,0.913543
AH1_S13_NODE_5_length_5519_cov_5.290886,MG518520.1,727.999,5400,46094.0,Streptomyces phage Immanuel3,1241,0.915175
AH1_S13_NODE_5_length_5519_cov_5.290886,MG518519.1,710.99,5400,45177.0,Streptomyces phage Manuel,1202,0.915655
AH1_S13_NODE_5_length_5519_cov_5.290886,MG515223.1,698.728,5400,45221.0,Streptomyces phage WRightOn,1131,0.917181
AH1_S13_NODE_5_length_5519_cov_5.290886,MN994275.1,681.038,5400,45385.0,Streptomyces phage JXY1,1113,0.919539
AH1_S13_NODE_5_length_5519_cov_5.290886,KX925554.1,42.042,5400,112523.0,Streptomyces phage BRock,143,0.997861
AH3_S4_NODE_10_length_6274_cov_4.735840,AP013029.1,55.932,6276,155631.0,Bacillus phage phiNIT1,236,0.997927
AH3_S4_NODE_10_length_6274_cov_4.735840,AE006468.2,144.873,6276,4857450.0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,526,0.999821
AH3_S4_NODE_12_length_5937_cov_4.404096,MT613935.1,117.879,5925,44033.0,Pseudomonas phage Persinger,309,0.985843
AH3_S4_NODE_12_length_5937_cov_4.404096,MN369745.1,33.002,5925,17426.0,Microbacterium phage Kaijohn,58,0.99152
AH3_S4_NODE_12_length_5937_cov_4.404096,MT521990.1,33.002,5925,17442.0,Microbacterium phage Bri160,58,0.991526
AH3_S4_NODE_12_length_5937_cov_4.404096,MN585990.1,32.016,5925,17385.0,Microbacterium phage Azizam,58,0.991759
AH3_S4_NODE_12_length_5937_cov_4.404096,MH371111.1,32.016,5925,17450.0,Microbacterium phage Quaker,58,0.991782
AH3_S4_NODE_12_length_5937_cov_4.404096,MT310864.1,30.972,5925,17049.0,Microbacterium phage Nobel,58,0.991911
AH3_S4_NODE_12_length_5937_cov_4.404096,MH045561.1,31.008,5925,17362.0,Microbacterium phage PaoPu,68,0.992011
AH3_S4_NODE_12_length_5937_cov_4.404096,MK878904.1,77.031,5925,53932.0,Microbacterium phage TinyTimothy,243,0.992278
AH3_S4_NODE_12_length_5937_cov_4.404096,MT498065.1,29.986,5925,17510.0,Microbacterium phage PoRanda,58,0.992323
AH3_S4_NODE_12_length_5937_cov_4.404096,KU160646.1,73.947,5925,58279.0,Arthrobacter phage Gordon,180,0.993089
AH3_S4_NODE_12_length_5937_cov_4.404096,MN062711.1,60.916,5925,53981.0,Microbacterium phage Araxxi,194,0.993899
AH3_S4_NODE_12_length_5937_cov_4.404096,KU160641.1,64.036,5925,58159.0,Arthrobacter phage CaptnMurica,133,0.994004
AH3_S4_NODE_12_length_5937_cov_4.404096,CP014526.1,31.977,5925,32967.0,Haematospirillum jordaniae,57,0.995067
AH3_S4_NODE_12_length_5937_cov_4.404096,MH252365.1,41.029,5925,44526.0,Ralstonia phage phiRSP,89,0.995121
AH3_S4_NODE_12_length_5937_cov_4.404096,MH155873.1,44.0,5925,52935.0,Quhwahvirus paschalis,100,0.995515
AH3_S4_NODE_12_length_5937_cov_4.404096,MH271321.1,44.0,5925,53549.0,Quhwahvirus ouhwah,100,0.995561
AH3_S4_NODE_12_length_5937_cov_4.404096,GU903191.1,33.99,5925,41666.0,Escherichia phage vB_EcoM_ECO1230-10,66,0.995715
AH3_S4_NODE_12_length_5937_cov_4.404096,MF431617.1,32.021,5925,40163.0,Lentibacter phage vB_LenP_ICBM1,71,0.995831
AH3_S4_NODE_12_length_5937_cov_4.404096,MT024863.1,41.029,5925,53692.0,Microbacterium phage Arete,89,0.995871
AH3_S4_NODE_12_length_5937_cov_4.404096,EF579802.1,32.981,5925,46365.0,Microbacterium phage Min1,59,0.996216
AH3_S4_NODE_12_length_5937_cov_4.404096,MT701586.1,29.982,5925,43707.0,Burkholderia phage Mica,57,0.996375
AH3_S4_NODE_12_length_5937_cov_4.404096,MF663786.1,35.964,5925,94005.0,Bordetella phage vB_BbrM_PHB04,74,0.997841
AH3_S4_NODE_16_length_5306_cov_8.849493,MF975637.1,672.73,5232,43060.0,Streptomyces phage Scap1,1344,0.916417
AH3_S4_NODE_16_length_5306_cov_8.849493,MN284904.1,848.398,5232,59727.0,Gordonia phage Tanis,1585,0.921637
AH3_S4_NODE_16_length_5306_cov_8.849493,MK376953.1,850.514,5232,60218.0,Gordonia phage Rickmore,1610,0.922031
AH3_S4_NODE_16_length_5306_cov_8.849493,MN585996.1,854.52,5232,60531.0,Gordonia phage Crocheter,1633,0.922036
AH3_S4_NODE_16_length_5306_cov_8.849493,MN585971.1,848.498,5232,60278.0,Gordonia phage Avazak,1585,0.922287
AH3_S4_NODE_16_length_5306_cov_8.849493,MN010761.1,853.567,5232,60899.0,Gordonia phage Kenosha,1633,0.922557
AH3_S4_NODE_16_length_5306_cov_8.849493,MT310850.1,810.29,5232,57731.0,Gordonia phage Secretariat,1514,0.922784
AH3_S4_NODE_16_length_5306_cov_8.849493,MK376957.1,849.41,5232,61343.0,Gordonia phage Duffington,1606,0.923448
AH3_S4_NODE_16_length_5306_cov_8.849493,MN585982.1,852.712,5232,61623.0,Gordonia phage Untouchable,1633,0.923472
AH3_S4_NODE_16_length_5306_cov_8.849493,MN204501.1,847.92,5232,61544.0,Gordonia phage Chikenjars,1605,0.923812
AH3_S4_NODE_16_length_5306_cov_8.849493,MN284896.1,812.778,5232,60978.0,Gordonia phage OhMyWard,1516,0.926345
AH3_S4_NODE_16_length_5306_cov_8.849493,KU160642.1,758.207,5232,58353.0,Arthrobacter phage Circum,1502,0.928454
AH3_S4_NODE_16_length_5306_cov_8.849493,KU647628.2,757.095,5232,59443.0,Arthrobacter phage Mudcat,1502,0.929763
AH3_S4_NODE_16_length_5306_cov_8.849493,MF467948.1,709.74,5232,56076.0,Streptomyces phage DrGrey,1502,0.93054
AH3_S4_NODE_16_length_5306_cov_8.849493,MG757154.1,671.403,5232,56341.0,Streptomyces phage Bing,1354,0.934575
AH3_S4_NODE_16_length_5306_cov_8.849493,GU580942.1,880.6,5232,78064.0,Rhodococcus phage ReqiPoco6,1630,0.936568
AH3_S4_NODE_16_length_5306_cov_8.849493,KU160641.1,669.336,5232,58159.0,Arthrobacter phage CaptnMurica,1288,0.936647
AH3_S4_NODE_16_length_5306_cov_8.849493,KU160646.1,670.277,5232,58279.0,Arthrobacter phage Gordon,1288,0.936678
AH3_S4_NODE_16_length_5306_cov_8.849493,GU580941.1,864.822,5232,76797.0,Rhodococcus phage ReqiPepy6,1615,0.936743
AH3_S4_NODE_16_length_5306_cov_8.849493,KX670790.2,642.717,5232,56168.0,Streptomyces phage Rima,1329,0.937194
AH3_S4_NODE_16_length_5306_cov_8.849493,MG711463.1,657.003,5232,58391.0,Faecalibacterium phage FP_oengus,1332,0.938041
AH3_S4_NODE_16_length_5306_cov_8.849493,MK779875.1,441.807,5232,54381.0,Lactococcus phage CHPC971,1107,0.955532
AH3_S4_NODE_16_length_5306_cov_8.849493,EU081845.1,438.875,5232,55597.0,Lactococcus phage 1706,1112,0.956711
AH3_S4_NODE_16_length_5306_cov_8.849493,KJ489013.1,427.758,5232,55584.0,Lactococcus phage P162,1129,0.957798
AH3_S4_NODE_16_length_5306_cov_8.849493,KJ489011.1,336.776,5232,53513.0,Lactococcus phage P092,946,0.965603
AH3_S4_NODE_16_length_5306_cov_8.849493,KJ489010.1,90.036,5232,54452.0,Lactococcus phage P078,183,0.990949
AH3_S4_NODE_1_length_16079_cov_4.695663,KX349901.1,54.99,13956,24320.0,Bacillus phage Stitch,195,0.99138
AH3_S4_NODE_1_length_16079_cov_4.695663,MF156577.1,54.015,13956,25032.0,Bacillus phage Juan,195,0.991687
AH3_S4_NODE_1_length_16079_cov_4.695663,MK284527.1,54.924,13956,26357.0,Bacillus phage DK2,199,0.991825
AH3_S4_NODE_1_length_16079_cov_4.695663,MK284526.1,55.965,13956,27180.0,Bacillus phage DK1,195,0.991837
AH3_S4_NODE_1_length_16079_cov_4.695663,KX961631.1,54.015,13956,26054.0,Bacillus phage QCM11,195,0.9919
AH3_S4_NODE_1_length_16079_cov_4.695663,MF156578.1,54.015,13956,26061.0,Bacillus phage KonjoTrouble,195,0.991901
AH3_S4_NODE_1_length_16079_cov_4.695663,MK284528.1,54.924,13956,26865.0,Bacillus phage DK3,199,0.991927
AH3_S4_NODE_1_length_16079_cov_4.695663,MW348917.1,54.015,13956,26319.0,Bacillus phage Thornton,195,0.991953
AH3_S4_NODE_1_length_16079_cov_4.695663,MH817022.1,53.075,13956,25722.0,Bacillus phage vB_BthP-Goe4,193,0.991974
AH3_S4_NODE_1_length_16079_cov_4.695663,KX349900.2,54.015,13956,26502.0,Bacillus phage Claudi,195,0.991989
AH3_S4_NODE_1_length_16079_cov_4.695663,KX349899.2,52.993,13956,25905.0,Bacillus phage Aurora,197,0.992023
AH3_S4_NODE_1_length_16079_cov_4.695663,MT777452.1,54.015,13956,26863.0,Bacillus phage Baseball_field,195,0.99206
AH3_S4_NODE_1_length_16079_cov_4.695663,KY947509.1,54.015,13956,27206.0,Bacillus phage SerPounce,195,0.992126
AH3_S4_NODE_1_length_16079_cov_4.695663,MW012634.1,51.084,13956,28950.0,Bacillus phage DLc1,198,0.992856
AH3_S4_NODE_1_length_16079_cov_4.695663,KY565347.3,65.076,13956,47718.0,Geobacillus phage TP-84,204,0.993669
AH3_S4_NODE_1_length_16079_cov_4.695663,JN191664.1,55.919,13956,41992.0,Bacillus phage BtCS33,199,0.994003
AH3_S4_NODE_1_length_16079_cov_4.695663,HE614282.1,55.919,13956,42932.0,Bacillus phage BceA1,199,0.994102
AH3_S4_NODE_1_length_16079_cov_4.695663,JN797798.1,49.082,13956,154371.0,Bacillus phage BCU4,194,0.99825
AH3_S4_NODE_3_length_11610_cov_6.199861,KY817360.1,522.918,10449,17253.0,Rhodococcus phage Toil,1318,0.886741
AH3_S4_NODE_3_length_11610_cov_6.199861,MK620900.1,391.128,10449,18251.0,Streptomyces phage Forthebois,686,0.918231
AH3_S4_NODE_3_length_11610_cov_6.199861,MK305890.1,391.128,10449,18266.0,Streptomyces phage WheeHeim,686,0.918274
AH3_S4_NODE_3_length_11610_cov_6.199861,MZ089979.1,47.025,10449,14444.0,Bacillus phage Sole,165,0.988665
AH3_S4_NODE_3_length_11610_cov_6.199861,MZ089978.1,47.025,10449,14852.0,Bacillus phage Sato,165,0.988848
AH3_S4_NODE_3_length_11610_cov_6.199861,AY257527.1,47.025,10449,14935.0,Bacillus phage Bam35c,165,0.988885
AH3_S4_NODE_4_length_10454_cov_4.073528,MK542821.1,51.042,9873,32448.0,Escherichia phage HZP2,141,0.992764
AH3_S4_NODE_4_length_10454_cov_4.073528,MF630921.1,55.062,9873,40060.0,Escherichia phage IMM-002,138,0.993384
AH3_S4_NODE_4_length_10454_cov_4.073528,EU734172.1,54.051,9873,39252.0,Escherichia phage EcoDS1,129,0.993398
AH3_S4_NODE_4_length_10454_cov_4.073528,MF979559.1,44.958,9873,40657.0,Ralstonia phage DU_RP_I,127,0.994662
AH3_S4_NODE_4_length_10454_cov_4.073528,MG711516.1,44.958,9873,41297.0,Ralstonia phage RsoP1EGY,127,0.994728
AH3_S4_NODE_4_length_10454_cov_4.073528,KR149291.1,44.958,9873,41698.0,Klebsiella phage K5,127,0.994769
AH3_S4_NODE_4_length_10454_cov_4.073528,KM253764.1,42.028,9873,38646.0,Yersinia phage vB_YenP_AP5,76,0.994803
AH3_S4_NODE_4_length_10454_cov_4.073528,KT206225.1,51.968,9873,50418.0,Mycobacterium phage Phlei,128,0.994828
AH3_S4_NODE_4_length_10454_cov_4.073528,MK016662.1,45.936,9873,45424.0,Synechococcus phage S-B28,132,0.995016
AH3_S4_NODE_4_length_10454_cov_4.073528,JF937100.1,49.01,9873,50486.0,Mycobacterium phage Lesedi,130,0.995128
AH3_S4_NODE_4_length_10454_cov_4.073528,JN572689.1,49.014,9873,53142.0,Mycobacterium phage Perseus,126,0.995333
AH3_S4_NODE_4_length_10454_cov_4.073528,JX307705.1,41.008,9873,49186.0,Mycobacterium phage Marcell,88,0.995834
AH3_S4_NODE_4_length_10454_cov_4.073528,EU826470.1,41.008,9873,49487.0,Mycobacterium phage Solon,88,0.995855
AH3_S4_NODE_4_length_10454_cov_4.073528,AF271693.1,41.008,9873,50550.0,Mycobacterium phage Bxb1,88,0.995928
AH3_S4_NODE_4_length_10454_cov_4.073528,JF937103.1,41.008,9873,51426.0,Mycobacterium phage Museum,88,0.995986
AH3_S4_NODE_4_length_10454_cov_4.073528,JN699000.1,41.008,9873,51821.0,Mycobacterium phage BillKnuckles,88,0.996012
AH3_S4_NODE_4_length_10454_cov_4.073528,JF937099.1,41.008,9873,52169.0,Mycobacterium phage JC27,88,0.996034
AH3_S4_NODE_4_length_10454_cov_4.073528,JN699016.1,41.008,9873,52379.0,Mycobacterium phage Kugel,88,0.996048
AH3_S4_NODE_4_length_10454_cov_4.073528,JQ698665.1,42.03,9873,53972.0,Mycobacterium phage Nepal,90,0.99605
AH3_S4_NODE_4_length_10454_cov_4.073528,JN687951.1,41.008,9873,52481.0,Mycobacterium phage Violet,88,0.996054
AH3_S4_NODE_4_length_10454_cov_4.073528,JN698998.1,41.008,9873,53003.0,Mycobacterium phage Bruns,88,0.996087
AH3_S4_NODE_4_length_10454_cov_4.073528,EU744248.1,41.008,9873,53572.0,Mycobacterium phage KBG,88,0.996122
AH3_S4_NODE_4_length_10454_cov_4.073528,JN153086.1,41.008,9873,53597.0,Mycobacterium phage Euphoria,88,0.996123
AH3_S4_NODE_4_length_10454_cov_4.073528,MG770214.1,42.0,9873,75687.0,Gordonia phage SteveFrench,125,0.997055
AH3_S4_NODE_4_length_10454_cov_4.073528,AJ630128.1,47.034,9873,196280.0,Synechococcus phage S-PM2,134,0.998631
AH3_S4_NODE_5_length_9092_cov_4.974265,MN095771.1,23.959,8811,167547.0,Serratia phage Muldoon,97,0.999185
AH3_S4_NODE_6_length_8911_cov_5.783450,KX237516.1,47.994,7131,47405.0,Klebsiella phage vB_KpnM_KpV52,114,0.99472
AH3_S4_NODE_6_length_8911_cov_5.783450,JN831654.1,41.0,7131,49228.0,Mycobacterium phage Saintus,100,0.995635
AH3_S4_NODE_6_length_8911_cov_5.783450,JX015524.1,41.0,7131,52494.0,Mycobacterium phage Astro,100,0.995874
AH3_S4_NODE_6_length_8911_cov_5.783450,KR063279.1,32.038,7131,77779.0,Gordonia phage GMA3,83,0.997736
AH3_S4_NODE_7_length_7421_cov_3.747277,DQ398041.1,62.92,7104,74483.0,Mycobacterium phage 244,242,0.995373
AH3_S4_NODE_7_length_7421_cov_3.747277,GQ303265.1,62.92,7104,74491.0,Mycobacterium phage Pumpkin,242,0.995373
AH3_S4_NODE_7_length_7421_cov_3.747277,JF937091.2,62.92,7104,74997.0,Mycobacterium phage Bask21,242,0.995402
AH3_S4_NODE_7_length_7421_cov_3.747277,EU816591.1,62.92,7104,75811.0,Mycobacterium phage Kostya,242,0.995447
AH3_S4_NODE_7_length_7421_cov_3.747277,AY129331.1,62.92,7104,75931.0,Mycobacterium phage Cjw1,242,0.995453
AH3_S4_NODE_7_length_7421_cov_3.747277,JN006061.1,62.92,7104,75933.0,Mycobacterium phage Toto,242,0.995454
AH3_S4_NODE_7_length_7421_cov_3.747277,JF937106.1,62.92,7104,75973.0,Mycobacterium phage SirDuracell,242,0.995456
AH3_S4_NODE_7_length_7421_cov_3.747277,EU816588.1,62.92,7104,76312.0,Mycobacterium phage Porky,242,0.995474
AH3_S4_NODE_7_length_7421_cov_3.747277,JN412590.1,61.952,7104,76174.0,Mycobacterium phage Eureka,242,0.995536
AH3_S4_NODE_7_length_7421_cov_3.747277,MH834623.1,21.996,7104,44103.0,Arthrobacter phage Peas,52,0.997423
AH3_S4_NODE_7_length_7421_cov_3.747277,KF024725.1,23.976,7104,76050.0,Mycobacterium phage Whirlwind,54,0.99827
AH3_S4_NODE_7_length_7421_cov_3.747277,MN234187.1,24.024,7104,77566.0,Mycobacterium phage DyoEdafos,52,0.998298
AH3_S4_NODE_7_length_7421_cov_3.747277,KT372003.1,20.008,7104,75586.0,Mycobacterium phage Lumos,41,0.998548
