qseqid_genome_ID,sseqid_genome_ID,sseqid_virus,distance,total_aln_length,avg_pid,avg_genome_length,qseqid_genome_length,sseqid_genome_length
AH1_S13_NODE_88_length_2179_cov_3.110640,JN882285.1,Cronobacter phage vB_CsaM_GAP32,1.0,52,53.8,180420.5,2178.0,358663.0
AH1_S13_NODE_964_length_1266_cov_4.314616,KC751414.1,Pseudoalteromonas phage RIO-1,0.994,119,37.8,22550.0,1218.0,43882.0
AH1_S13_NODE_964_length_1266_cov_4.314616,FR751545.1,Pantoea phage LIMEzero,0.995,91,41.8,22125.0,1218.0,43032.0
AH1_S13_NODE_9_length_3943_cov_5.842593,KT887559.1,Pseudomonas phage phi3,0.949,555,55.7,18150.0,3663.0,32637.0
AH3_S4_NODE_103_length_2732_cov_5.375420,EU719189.1,Clostridioides phage phiCD27,0.987,446,25.1,26522.5,2115.0,50930.0
AH3_S4_NODE_105_length_2702_cov_4.219116,AP009363.1,Staphylococcus phage phi2958PVL,0.985,346,36.7,24920.5,2499.0,47342.0
AH3_S4_NODE_105_length_2702_cov_4.219116,MG962374.1,Mycobacterium phage Paola,0.994,187,31.6,32017.0,2499.0,61535.0
AH3_S4_NODE_1068_length_1433_cov_6.645138,MH834613.1,Mycobacterium phage Fowlmouth,0.995,144,45.1,35557.5,1455.0,69660.0
AH3_S4_NODE_1068_length_1433_cov_6.645138,MG757156.1,Mycobacterium phage Cuke,0.995,105,56.2,35162.0,1455.0,68869.0
AH3_S4_NODE_1068_length_1433_cov_6.645138,AY129339.1,Mycobacterium phage Barnyard,0.996,124,42.7,36126.0,1455.0,70797.0
AH3_S4_NODE_1068_length_1433_cov_6.645138,KF416342.1,Mycobacterium phage Papyrus,0.998,37,64.9,36056.0,1455.0,70657.0
AH3_S4_NODE_107_length_2692_cov_10.084566,MF975637.1,Streptomyces phage Scap1,0.961,524,57.3,22908.5,2757.0,43060.0
AH3_S4_NODE_107_length_2692_cov_10.084566,MN284904.1,Gordonia phage Tanis,0.991,183,53.6,31242.0,2757.0,59727.0
AH3_S4_NODE_107_length_2692_cov_10.084566,GU580941.1,Rhodococcus phage ReqiPepy6,0.995,103,60.2,39777.0,2757.0,76797.0
AH3_S4_NODE_1080_length_1429_cov_12.384279,MF975637.1,Streptomyces phage Scap1,0.989,133,61.7,22187.0,1314.0,43060.0
AH3_S4_NODE_1080_length_1429_cov_12.384279,MG757154.1,Streptomyces phage Bing,0.993,105,64.8,28827.5,1314.0,56341.0
AH3_S4_NODE_1089_length_1426_cov_3.533917,KX898400,Pseudomonas phage JG054,0.988,245,47.8,29590.0,1341.0,57839.0
AH3_S4_NODE_1089_length_1426_cov_3.533917,MW835180,Pseudomonas phage vB_PaeS_PAJD-1,0.996,71,49.3,29630.0,1341.0,57919.0
AH3_S4_NODE_1092_length_1425_cov_13.095620,MG518519.1,Streptomyces phage Manuel,0.993,201,26.4,23286.0,1395.0,45177.0
AH3_S4_NODE_1092_length_1425_cov_13.095620,OP413838,Methanophagales virus PBV299,0.998,39,56.4,36235.0,1395.0,71075.0
AH3_S4_NODE_1092_length_1425_cov_13.095620,JF974320.1,Micromonas pusilla virus SP1,0.999,70,38.6,87423.0,1395.0,173451.0
AH3_S4_NODE_1098_length_1423_cov_6.403509,MZ616364,Erwinia phage KEY,0.997,177,33.9,58428.5,1206.0,115651.0
AH3_S4_NODE_112_length_2669_cov_4.484698,KC357596.1,Vibrio phage VFJ,0.988,41,53.7,5402.5,2250.0,8555.0
AH3_S4_NODE_112_length_2669_cov_4.484698,KC691257.1,Mycobacterium phage Astraea,0.999,58,44.8,78561.0,2250.0,154872.0
AH3_S4_NODE_113_length_2666_cov_2.761777,HE611333.2,Pseudomonas phage tf,0.99,286,42.2,24472.0,2673.0,46271.0
AH3_S4_NODE_113_length_2666_cov_2.761777,MG845684.1,Pseudomonas phage NV1,0.995,160,25.6,23865.5,2673.0,45058.0
AH3_S4_NODE_113_length_2666_cov_2.761777,MZ593174,Acinetobacter phage vB_Api_3043-K38,0.996,55,52.7,22277.5,2673.0,41882.0
AH3_S4_NODE_1145_length_1408_cov_4.881005,AP014927.1,Ralstonia phage RSF1,0.998,217,30.9,112146.0,1404.0,222888.0
AH3_S4_NODE_119_length_2625_cov_4.833074,KX129925.1,Pseudomonas phage NP1,0.982,329,55.9,30549.0,2532.0,58566.0
AH3_S4_NODE_119_length_2625_cov_4.833074,KX898400,Pseudomonas phage JG054,0.982,317,57.1,30185.5,2532.0,57839.0
AH3_S4_NODE_119_length_2625_cov_4.833074,KU885989.1,Roseobacter phage RD-1410W1-01,0.997,106,40.6,37603.0,2532.0,72674.0
AH3_S4_NODE_126_length_2591_cov_5.227524,JX104231.1,Burkholderia phage BcepMigl,0.994,157,44.6,32490.0,2028.0,62952.0
AH3_S4_NODE_1287_length_1362_cov_2.525631,HE611333.2,Pseudomonas phage tf,0.994,159,28.3,23812.0,1353.0,46271.0
AH3_S4_NODE_12_length_6214_cov_4.820101,MG711460.1,Faecalibacterium phage FP_Mushu,0.976,569,30.533,21298.5,5961.0,36636.0
AH3_S4_NODE_12_length_6214_cov_4.820101,MH719195,Pseudomonas phage Ps59,0.995,139,28.1,22490.5,5961.0,39020.0
AH3_S4_NODE_1309_length_1354_cov_3.393380,AJ697969.1,Pseudomonas phage EL,0.999,37,64.9,106237.5,1260.0,211215.0
AH3_S4_NODE_130_length_2533_cov_3.711461,KR063279.1,Gordonia phage GMA3,0.996,178,30.3,40134.5,2490.0,77779.0
AH3_S4_NODE_1311_length_1354_cov_2.919169,KY914485.1,Aeromonas phage phiA8-29,0.999,95,34.7,73100.5,1227.0,144974.0
AH3_S4_NODE_133_length_2522_cov_9.311715,BX897699,Bartonella henselae str. Houston-1,1.0,179,34.6,966788.0,2529.0,1931047.0
AH3_S4_NODE_177_length_2346_cov_7.487124,KU665491.1,Bacillus phage Mgbh1,0.997,88,34.1,30458.0,1965.0,58951.0
AH3_S4_NODE_180_length_2333_cov_15.098332,OK562670,Stenotrophomonas phage vB_SM_ytsc_ply2008005c,0.992,219,28.3,22252.5,2187.0,42318.0
AH3_S4_NODE_180_length_2333_cov_15.098332,OK040790,Microbacterium phage Pumpernickel,0.998,299,23.7,94141.0,2187.0,186095.0
AH3_S4_NODE_1830_length_1237_cov_12.461083,MZ803112,Synechococcus T7-like virus S-TIP28,0.993,146,38.4,23450.5,1152.0,45749.0
AH3_S4_NODE_1933_length_1216_cov_5.881137,MH651172.1,Streptomyces phage Comrade,0.997,187,34.2,65115.0,1215.0,129015.0
AH3_S4_NODE_2084_length_1191_cov_5.632923,MH834613.1,Mycobacterium phage Fowlmouth,0.997,58,56.9,35362.5,1065.0,69660.0
AH3_S4_NODE_210_length_2250_cov_4.737130,CP023680.1,Zymomonas mobilis subsp. mobilis,0.996,67,38.8,19391.5,2289.0,36494.0
AH3_S4_NODE_24_length_4027_cov_3.967523,OL549188,Arthrobacter phage Warda,0.989,173,48.6,23720.0,3648.0,43792.0
AH3_S4_NODE_24_length_4027_cov_3.967523,KJ019052.1,Synechococcus phage ACG-2014f_Syn7803C7,0.999,86,31.4,110138.0,3648.0,216628.0
AH3_S4_NODE_253_length_2145_cov_7.793780,MK620900.1,Streptomyces phage Forthebois,0.973,269,33.8,10187.5,2124.0,18251.0
AH3_S4_NODE_253_length_2145_cov_7.793780,MK305890.1,Streptomyces phage WheeHeim,0.978,220,33.6,10195.0,2124.0,18266.0
AH3_S4_NODE_253_length_2145_cov_7.793780,KY817360.1,Rhodococcus phage Toil,0.991,77,37.7,9688.5,2124.0,17253.0
AH3_S4_NODE_262_length_2127_cov_16.794884,MF975637.1,Streptomyces phage Scap1,0.989,133,64.7,22589.0,2118.0,43060.0
AH3_S4_NODE_262_length_2127_cov_16.794884,MF467948.1,Streptomyces phage DrGrey,0.995,64,68.8,29097.0,2118.0,56076.0
AH3_S4_NODE_262_length_2127_cov_16.794884,MK376953.1,Gordonia phage Rickmore,0.996,68,61.8,31168.0,2118.0,60218.0
AH3_S4_NODE_2730_length_1105_cov_2.469524,GU580941.1,Rhodococcus phage ReqiPepy6,0.998,51,51.0,38862.0,927.0,76797.0
AH3_S4_NODE_276_length_2101_cov_3.885630,MN504636,Pseudomonas phage Quinobequin-P09,0.989,229,51.75,30023.5,1770.0,58277.0
AH3_S4_NODE_276_length_2101_cov_3.885630,MZ851152,Aeromonas phage PZL-Ah8,0.991,116,53.4,21312.5,1770.0,40855.0
AH3_S4_NODE_276_length_2101_cov_3.885630,KX898400,Pseudomonas phage JG054,0.993,140,47.1,29804.5,1770.0,57839.0
AH3_S4_NODE_2799_length_1098_cov_5.674976,KU884563.1,Pseudomonas phage PaMx41,0.994,136,33.1,22273.0,1056.0,43490.0
AH3_S4_NODE_2879_length_1090_cov_5.813527,MK673511.1,Salmonella phage ZCSE2,0.995,79,57.0,27356.0,747.0,53965.0
AH3_S4_NODE_28_length_3718_cov_15.133770,MW507126,Microbacterium phage Shocker,0.98,491,35.967,24569.5,3708.0,45431.0
AH3_S4_NODE_28_length_3718_cov_15.133770,KU160650.1,Arthrobacter phage Jasmine,0.996,134,24.6,25215.5,3708.0,46723.0
AH3_S4_NODE_2_length_11953_cov_5.297109,EU734172.1,Escherichia phage EcoDS1,0.994,129,41.9,25279.5,11307.0,39252.0
AH3_S4_NODE_2_length_11953_cov_5.297109,KP696448.1,Bacillus phage Stills,0.996,240,26.3,46052.5,11307.0,80798.0
AH3_S4_NODE_2_length_11953_cov_5.297109,AF020713.1,Bacillus phage SPBc2,0.998,274,21.9,72861.5,11307.0,134416.0
AH3_S4_NODE_2_length_11953_cov_5.297109,KF669661.1,Bacillus phage Slash,0.998,141,25.5,45844.5,11307.0,80382.0
AH3_S4_NODE_2_length_11953_cov_5.297109,MT418680,Fadolivirus FV1/VV64,1.0,79,38.0,792405.5,11307.0,1573504.0
AH3_S4_NODE_3370_length_1046_cov_2.147326,MK450538.1,Staphylococcus phage vB_SpsS_QT1,0.996,92,30.4,22053.0,1077.0,43029.0
AH3_S4_NODE_3370_length_1046_cov_2.147326,AB910393.1,Pseudomonas phage KPP25,0.997,125,29.6,32595.0,1077.0,64113.0
AH3_S4_NODE_33_length_3611_cov_3.424916,MH443100.1,Erwinia phage vB_EhrS_49,0.991,191,38.2,25087.0,3339.0,46835.0
AH3_S4_NODE_33_length_3611_cov_3.424916,OR769218,phage Lak_Megaphage_RVC_AP1_GC26,1.0,27,70.4,260484.0,3339.0,517629.0
AH3_S4_NODE_345_length_1979_cov_5.384615,ON529850,Brevundimonas phage vB_BpoS-Gurke,0.999,144,29.9,161680.5,1851.0,321510.0
AH3_S4_NODE_3602_length_1028_cov_4.358684,KU160642.1,Arthrobacter phage Circum,0.995,97,52.6,29704.5,1056.0,58353.0
AH3_S4_NODE_3602_length_1028_cov_4.358684,MF580957.1,Salinibacter phage M8CR30-2,0.996,86,31.4,18077.5,1056.0,35099.0
AH3_S4_NODE_361_length_1957_cov_13.588854,AF410153.1,Swinepox virus,0.998,98,48.0,74119.5,1785.0,146454.0
AH3_S4_NODE_361_length_1957_cov_13.588854,KY523104,Tupanvirus soda lake,1.0,79,43.0,720646.5,1785.0,1439508.0
AH3_S4_NODE_3649_length_1024_cov_6.108359,ON624112,Aeromonas phage Aer_P220,0.995,135,29.6,23127.0,1047.0,45207.0
AH3_S4_NODE_399_length_1905_cov_3.595676,MZ571831,Klebsiella phage vB_KpnS-VAC70,0.996,88,37.5,25508.5,1386.0,49631.0
AH3_S4_NODE_399_length_1905_cov_3.595676,MK863032.2,Pseudomonas phage Zuri,0.998,62,50.0,38629.5,1386.0,75873.0
AH3_S4_NODE_409_length_1894_cov_6.583469,KR052482.1,Sinorhizobium phage phiN3,0.998,184,36.4,104198.0,1683.0,206713.0
AH3_S4_NODE_409_length_1894_cov_6.583469,KU686199.1,Synechococcus phage S-CAM3,0.999,59,33.9,99936.5,1683.0,198190.0
AH3_S4_NODE_43_length_3450_cov_3.074227,MZ826350,Pseudomonas phage M5.1,0.992,448,29.0,50906.0,3276.0,98536.0
AH3_S4_NODE_43_length_3450_cov_3.074227,MG711465.1,Faecalibacterium phage FP_Brigit,0.996,128,29.7,32496.0,3276.0,61716.0
AH3_S4_NODE_442_length_1844_cov_2.950252,KY979132.2,Acidovorax phage ACP17,0.999,134,26.9,78925.0,1569.0,156281.0
AH3_S4_NODE_44_length_3392_cov_6.175907,KF669648.1,Bacillus phage Blastoid,0.986,501,25.5,26725.0,3096.0,50354.0
AH3_S4_NODE_499_length_1780_cov_9.724058,MG757154.1,Streptomyces phage Bing,0.986,216,62.0,29054.0,1767.0,56341.0
AH3_S4_NODE_499_length_1780_cov_9.724058,MF975637.1,Streptomyces phage Scap1,0.989,149,57.0,22413.5,1767.0,43060.0
AH3_S4_NODE_499_length_1780_cov_9.724058,MN284904.1,Gordonia phage Tanis,0.993,121,60.3,30747.0,1767.0,59727.0
AH3_S4_NODE_499_length_1780_cov_9.724058,GU580942.1,Rhodococcus phage ReqiPoco6,0.996,98,57.1,39915.5,1767.0,78064.0
AH3_S4_NODE_529_length_1754_cov_4.199529,OP880253,Methanophagales virus GBV302,0.997,132,32.6,41096.0,1641.0,80551.0
AH3_S4_NODE_52_length_3275_cov_5.319255,NC_028657,Pseudomonas phage YMC11/02/R656,0.991,360,27.2,31899.5,2880.0,60919.0
AH3_S4_NODE_52_length_3275_cov_5.319255,ON005621,Stenotrophomonas phage A1432,0.992,213,39.9,32270.0,2880.0,61660.0
AH3_S4_NODE_52_length_3275_cov_5.319255,KU998237.1,Gordonia phage Vendetta,0.995,88,48.9,24369.0,2880.0,45858.0
AH3_S4_NODE_561_length_1728_cov_8.787806,MK804893.1,Aeromonas phage 2L372D,0.997,182,32.4,62324.5,1686.0,122963.0
AH3_S4_NODE_561_length_1728_cov_8.787806,KC292026.1,Halovirus HGTV-1,0.999,75,29.3,72770.5,1686.0,143855.0
AH3_S4_NODE_59_length_3215_cov_18.791139,KU160650.1,Arthrobacter phage Jasmine,0.988,212,45.3,24810.5,2898.0,46723.0
AH3_S4_NODE_59_length_3215_cov_18.791139,MT771339.1,Gordonia phage Archimedes,0.995,128,31.3,23918.0,2898.0,44938.0
AH3_S4_NODE_59_length_3215_cov_18.791139,MN369755.1,Mycobacterium phage Minnie,0.995,87,56.3,31083.0,2898.0,59268.0
AH3_S4_NODE_59_length_3215_cov_18.791139,MK620899.1,Gordonia phage GodonK,0.999,28,53.6,62730.5,2898.0,122563.0
AH3_S4_NODE_66_length_3168_cov_8.092194,MT757392,Klebsiella phage vB_KleM_KB2,0.993,135,43.7,25462.0,2679.0,48245.0
AH3_S4_NODE_66_length_3168_cov_8.092194,EU874396.1,Bacillus phage IEBH,0.997,105,30.5,27891.5,2679.0,53104.0
AH3_S4_NODE_66_length_3168_cov_8.092194,AE006468.2,Phage Gifsy-2,1.0,56,42.9,2430064.5,2679.0,4857450.0
AH3_S4_NODE_692_length_1620_cov_6.858786,KU130129.1,Pseudomonas phage vB_PsyM_KIL4,0.999,57,31.6,47221.0,1626.0,92816.0
AH3_S4_NODE_692_length_1620_cov_6.858786,MH051333.1,Escherichia phage vB_EcoM-Ro121c4YLVW,0.999,60,48.3,76648.5,1626.0,151671.0
AH3_S4_NODE_6_length_8510_cov_12.364636,MN284904.1,Gordonia phage Tanis,0.949,1125,44.8,34056.0,8385.0,59727.0
AH3_S4_NODE_6_length_8510_cov_12.364636,MN284896.1,Gordonia phage OhMyWard,0.979,431,53.25,34681.5,8385.0,60978.0
AH3_S4_NODE_6_length_8510_cov_12.364636,GU580942.1,Rhodococcus phage ReqiPoco6,0.984,482,47.2,43224.5,8385.0,78064.0
AH3_S4_NODE_6_length_8510_cov_12.364636,MN585982.1,Gordonia phage Untouchable,0.993,150,54.0,35004.0,8385.0,61623.0
AH3_S4_NODE_6_length_8510_cov_12.364636,MG711463.1,Faecalibacterium phage FP_oengus,0.995,119,44.5,33388.0,8385.0,58391.0
AH3_S4_NODE_6_length_8510_cov_12.364636,MF919510.1,Gordonia phage Kabluna,0.998,55,38.2,37127.0,8385.0,65869.0
AH3_S4_NODE_701_length_1614_cov_7.663887,MH617534.1,Genomoviridae sp.,0.699,221,75.1,1696.0,1212.0,2180.0
AH3_S4_NODE_784_length_1569_cov_4.818362,KY514264.1,Pectobacterium phage vB_PatP_CB1,0.997,85,38.8,38781.0,1521.0,76041.0
AH3_S4_NODE_784_length_1569_cov_4.818362,OR769223,phage Lak_Megaphage_Sonny,0.999,300,29.3,330735.5,1521.0,659950.0
AH3_S4_NODE_80_length_2917_cov_2.613906,MH684921.1,Sphingomonas phage Scott,0.991,135,51.1,22795.5,2514.0,43077.0
AH3_S4_NODE_80_length_2917_cov_2.613906,MG018927.1,Pseudomonas phage nickie,0.996,216,32.9,57369.5,2514.0,112225.0
AH3_S4_NODE_85_length_2887_cov_10.422669,MT740728.1,Ralstonia phage Anchaing,0.994,186,26.9,23111.0,2625.0,43597.0
AH3_S4_NODE_93_length_2837_cov_3.695183,MF158037,Salmonella phage St162,0.992,104,57.7,22585.0,2469.0,42701.0
AH3_S4_NODE_93_length_2837_cov_3.695183,MH588544.1,Caulobacter phage CcrBL10,0.998,183,32.8,111701.5,2469.0,220934.0
AH4_S17_NODE_1062_length_2515_cov_4.480488,BK063679.1,Caudoviricetes sp. vir323,0.992,202,25.2,18303.0,2427.0,34179.0
AH4_S17_NODE_10869_length_1078_cov_11.565982,AF543311.2,Burkholderia phage Bcep781,0.993,95,57.9,24666.5,1086.0,48247.0
AH4_S17_NODE_10869_length_1078_cov_11.565982,AP013540.1,uncultured phage_MedDCM-OCT-S28-C10,0.995,116,31.0,20976.0,1086.0,40866.0
AH4_S17_NODE_1152_length_2441_cov_7.479464,KX925554.1,Streptomyces phage BRock,0.998,69,47.8,57433.0,2343.0,112523.0
AH4_S17_NODE_1162_length_2436_cov_4.982780,MF668266.1,Arthrobacter phage Adat,0.991,251,29.9,23903.5,2379.0,45428.0
AH4_S17_NODE_1162_length_2436_cov_4.982780,MW507126,Microbacterium phage Shocker,0.991,241,28.6,23905.0,2379.0,45431.0
AH4_S17_NODE_1257_length_2378_cov_2.844167,MN586027.1,Arthrobacter phage Mufasa8,0.991,390,24.4,31136.0,2067.0,60205.0
AH4_S17_NODE_129_length_6155_cov_2.600820,KR063280.1,Gordonia phage GMA6,0.996,306,20.3,44648.5,5973.0,83324.0
AH4_S17_NODE_129_length_6155_cov_2.600820,PP725409,Gordonia phage Xenia2,0.997,141,23.4,37054.0,5973.0,68135.0
AH4_S17_NODE_129_length_6155_cov_2.600820,MZ334527.1,Halorubrum virus HATV-3,0.998,31,58.1,24133.0,5973.0,42293.0
AH4_S17_NODE_1338_length_2315_cov_3.083628,MN234188.1,Mycobacterium phage Anthony,0.997,68,42.6,26749.0,1296.0,52202.0
AH4_S17_NODE_1338_length_2315_cov_3.083628,KR063280.1,Gordonia phage GMA6,0.998,64,34.4,42310.0,1296.0,83324.0
AH4_S17_NODE_1345_length_2311_cov_6.040780,AY129335.1,Mycobacterium phage Corndog,0.992,342,28.7,36015.0,2253.0,69777.0
AH4_S17_NODE_1364_length_2298_cov_3.152920,MH128984.1,Burkholderia phage vB_BmuP_KL4,0.993,148,36.5,22223.0,2196.0,42250.0
AH4_S17_NODE_1364_length_2298_cov_3.152920,AY029185.2,Bordetella phage BPP-1,0.996,97,34.0,22344.5,2196.0,42493.0
AH4_S17_NODE_1436_length_2253_cov_2.495450,KU160669.1,Arthrobacter phage Tank,0.992,231,40.7,34889.5,2187.0,67592.0
AH4_S17_NODE_1436_length_2253_cov_2.495450,MK376961.1,Gordonia phage Asapag,0.996,115,30.4,28653.0,2187.0,55119.0
AH4_S17_NODE_1460_length_2237_cov_2.870302,KX670790.2,Streptomyces phage Rima,0.98,293,66.2,29185.0,2202.0,56168.0
AH4_S17_NODE_1460_length_2237_cov_2.870302,MF975637.1,Streptomyces phage Scap1,0.989,129,63.6,22631.0,2202.0,43060.0
AH4_S17_NODE_1460_length_2237_cov_2.870302,MN284904.1,Gordonia phage Tanis,0.992,108,73.1,30964.5,2202.0,59727.0
AH4_S17_NODE_1460_length_2237_cov_2.870302,MG757154.1,Streptomyces phage Bing,0.994,103,55.3,29271.5,2202.0,56341.0
AH4_S17_NODE_1460_length_2237_cov_2.870302,KU160642.1,Arthrobacter phage Circum,0.995,87,62.1,30277.5,2202.0,58353.0
AH4_S17_NODE_1478_length_2231_cov_9.965533,MN703411.1,Arthrobacter phage DrYang,0.998,31,71.0,35627.0,2193.0,69061.0
AH4_S17_NODE_1478_length_2231_cov_9.965533,OR863078,Agnivirus brisbanense,0.999,68,32.4,55224.0,2193.0,108255.0
AH4_S17_NODE_1502_length_2218_cov_5.363384,MG518519.1,Streptomyces phage Manuel,0.997,72,37.5,23629.5,2082.0,45177.0
AH4_S17_NODE_1502_length_2218_cov_5.363384,BX897699,Bartonella henselae str. Houston-1,1.0,144,33.3,966564.5,2082.0,1931047.0
AH4_S17_NODE_1505_length_2217_cov_3.436633,AP018487.1,Mycobacterium phage HC,0.993,124,42.7,24229.5,2154.0,46305.0
AH4_S17_NODE_1505_length_2217_cov_3.436633,OP074812,Bacteriophage sp.,0.994,190,34.2,33206.5,2154.0,64259.0
AH4_S17_NODE_1505_length_2217_cov_3.436633,KT591489.1,Mycobacterium phage Archie,0.997,118,29.7,39212.5,2154.0,76271.0
AH4_S17_NODE_1505_length_2217_cov_3.436633,PP579741,Enterobacter phage KKP_3711,0.998,91,34.1,57932.5,2154.0,113711.0
